FUNCTION_ONE,FUNCTION_TWO,LABEL,PREDICT
"    public static double[][] Pearson(double[][] X) {
        double[][] output = new double[X.length][X.length];
        try {
            for (int i = 0; i < X.length; i++) {
                output[i][i] = 1.0;
                for (int j = 0; j < i; j++) {
                    output[i][j] = GeneUtils.pearson(X[i], X[j]);
                    output[j][i] = output[i][j];
                }
            }
        } catch (Exception ex) {
            Logger.getLogger(Statistic.class.getName()).log(Level.SEVERE, null, ex);
        }
        return output;
    }","            public List<Code> getProperties() {
                if (value == null) {
                    return Collections.emptyList();
                }
                String value = org.apache.commons.lang.StringUtils.strip(this.value, ""\"" \n\r\f\t"");
                Pattern p = Pattern.compile(""(memo|date|desc|summary|milestone|def|value|vdef|quote|ref|title|cause)\\s*:\\s*"");
                Matcher m = p.matcher(value);
                List<Code> result = new LinkedList<Code>();
                String lastKey = ""desc"";
                StringBuilder currentValue = new StringBuilder();
                int pos = 0;
                while (m.find()) {
                    int start = m.start();
                    String key = m.group(1);
                    if (pos < start) {
                        currentValue.append(value.substring(pos, start));
                    }
                    pos = m.end();
                    if (currentValue.length() > 0) {
                        result.add(new TagCodedCode(lastKey + ""=\"""" + org.apache.commons.lang.StringUtils.strip(currentValue.toString(), "", \n\r\f\t"") + ""\""""));
                        currentValue = new StringBuilder();
                    }
                    lastKey = key;
                }
                if (pos < value.length()) {
                    currentValue.append(value.substring(pos));
                }
                if (currentValue.length() > 0) {
                    result.add(new TagCodedCode(lastKey + ""=\"""" + org.apache.commons.lang.StringUtils.strip(currentValue.toString(), "", \n\r\f\t"") + ""\""""));
                }
                return result;
            }",0,0
"            public void actionPerformed(ActionEvent e) {
                JFileChooser chooser = new JFileChooser();
                try {
                    chooser.setCurrentDirectory(new File(new File(""."").getCanonicalPath()));
                } catch (IOException ioe) {
                }
                int returnVal = chooser.showOpenDialog(frame);
                if (returnVal == JFileChooser.APPROVE_OPTION) {
                    openFile(chooser.getSelectedFile());
                }
            }","        public static void transpose3(double[][] in, double[][] out) {
            if (D.isIdentityMatrix(in)) {
                if (in != out) D.identityMatrix(out);
                return;
            }
            double[][] copyIn;
            if (in == out) {
                D.copyMatrix(in, _dummyMatrix);
                copyIn = _dummyMatrix;
            } else {
                copyIn = in;
            }
            for (int rowI = 0; rowI < 3; rowI++) {
                for (int colI = 0; colI < 3; colI++) {
                    out[colI][rowI] = copyIn[rowI][colI];
                }
            }
        }",0,0
"    public static int[][] getPixels2D(int[] pixels, int w, int h, int size) {
        int[][] npixels = new int[w][h];
        for (int i = 0; i < npixels.length; i++) {
            for (int j = 0; j < npixels[i].length; j++) {
                npixels[i][j] = pixels[i + j * size];
            }
        }
        int pixel[][] = new int[h][w];
        for (int i = 0; i < h; i++) {
            for (int j = 0; j < w; j++) {
                pixel[i][j] = npixels[j][i];
            }
        }
        return pixel;
    }","    private void lblHomepageMouseUp(MouseEvent evt) {
        if (!java.awt.Desktop.isDesktopSupported()) {
            return;
        }
        java.awt.Desktop desktop = java.awt.Desktop.getDesktop();
        if (!desktop.isSupported(java.awt.Desktop.Action.BROWSE)) {
            return;
        }
        try {
            java.net.URI uri = new java.net.URI(this.lblHomepage.getText());
            desktop.browse(uri);
        } catch (Exception e) {
        }
    }",0,0
"    @SuppressWarnings(""unchecked"")
    private void doOpenCommand() {
        int returnVal = fileChooser.showOpenDialog(frame);
        if (returnVal == JFileChooser.APPROVE_OPTION) {
            try {
                String filename = fileChooser.getSelectedFile().getCanonicalPath();
                FileInputStream fin = new FileInputStream(filename);
                ObjectInputStream oin = new ObjectInputStream(fin);
                ArrayList<Column> openedColumns = (ArrayList<Column>) oin.readObject();
                oin.close();
                doNewCommand();
                for (int i = 0; i < openedColumns.size(); i++) {
                    columns.get(i).setTo(openedColumns.get(i));
                }
                setNumColsShown(openedColumns.get(0).getNumColumnsShown());
            } catch (IOException e) {
                JOptionPane.showMessageDialog(frame, ""There was an error while reading the file."", ""Error"", JOptionPane.ERROR_MESSAGE);
            } catch (ClassNotFoundException e) {
                JOptionPane.showMessageDialog(frame, ""This isn't the right file type.  You can only load files saved by this program."", ""Error"", JOptionPane.ERROR_MESSAGE);
            } catch (ClassCastException e) {
                JOptionPane.showMessageDialog(frame, ""This isn't the right file type.  You can only load files saved by this program."", ""Error"", JOptionPane.ERROR_MESSAGE);
            }
        }
    }","    private static JsniJavaRefReplacementResult replaceJsniJavaRefs(String jsni) {
        Map<String, String> replacements = new HashMap<String, String>();
        Pattern p = Pattern.compile(""@[a-zA-Z0-9._$]+::[a-zA-Z0-9_$]+(\\(.*?\\)\\(.*?\\))?"");
        Matcher m = p.matcher(jsni);
        while (m.find()) {
            int start = m.start();
            int end = m.end();
            String ref = jsni.substring(start, end);
            String jsToken = makeJsToken(ref);
            while (replacements.containsKey(jsToken) && !replacements.get(jsToken).equals(ref)) {
                jsToken = makeJsToken(jsToken);
            }
            replacements.put(jsToken, ref);
        }
        for (Entry<String, String> kvp : replacements.entrySet()) {
            jsni = jsni.replace(kvp.getValue(), kvp.getKey());
        }
        return new JsniJavaRefReplacementResult(jsni, replacements);
    }",0,0
"    public static boolean delete(File resource) throws IOException {
        if (resource.isDirectory()) {
            File[] childFiles = resource.listFiles();
            for (File child : childFiles) {
                delete(child);
            }
        }
        return resource.delete();
    }","    public Object getProperty(Map context, Object target, Object name) throws OgnlException {
        Object result = null;
        if (name instanceof String) {
            if (name.equals(""size"") || name.equals(""length"")) {
                result = new Integer(Array.getLength(target));
            } else {
                if (name.equals(""iterator"")) {
                    result = Arrays.asList(target).iterator();
                } else {
                    if (name.equals(""isEmpty"") || name.equals(""empty"")) {
                        result = Array.getLength(target) == 0 ? Boolean.TRUE : Boolean.FALSE;
                    } else {
                        result = super.getProperty(context, target, name);
                    }
                }
            }
        } else {
            Object index = name;
            if (index instanceof DynamicSubscript) {
                int len = Array.getLength(target);
                switch(((DynamicSubscript) index).getFlag()) {
                    case DynamicSubscript.ALL:
                        result = Array.newInstance(target.getClass().getComponentType(), len);
                        System.arraycopy(target, 0, result, 0, len);
                        break;
                    case DynamicSubscript.FIRST:
                        index = new Integer((len > 0) ? 0 : -1);
                        break;
                    case DynamicSubscript.MID:
                        index = new Integer((len > 0) ? (len / 2) : -1);
                        break;
                    case DynamicSubscript.LAST:
                        index = new Integer((len > 0) ? (len - 1) : -1);
                        break;
                }
            }
            if (result == null) {
                if (index instanceof Number) {
                    int i = ((Number) index).intValue();
                    result = (i >= 0) ? Array.get(target, i) : null;
                } else {
                    throw new NoSuchPropertyException(target, index);
                }
            }
        }
        return result;
    }",0,0
"        public void actionPerformed(ActionEvent ae) {
            if (Desktop.isDesktopSupported()) {
                try {
                    Desktop d = Desktop.getDesktop();
                    d.browse(new URI(MasteryCards.GPL_URL));
                } catch (Exception e) {
                    Methods.displaySimpleError(framer, ""Can't access website; check internet connection?\nPlease visit '"" + MasteryCards.GPL_URL + ""' to view GPL"");
                }
            } else {
                Methods.displaySimpleAlert(framer, ""Please visit '"" + MasteryCards.GPL_URL + ""' to view GPL"");
            }
        }","    public LinkedList<SearchResult> search(String strRequest) {
        LinkedList<SearchResult> ret = new LinkedList<SearchResult>();
        HttpClient h = new HttpClient();
        try {
            String strRequestUrl = ""http://www.youporn.com/search"";
            if (strRequest.toLowerCase().contains(""straight!"")) {
                strRequestUrl += ""?type=straight"";
                strRequest = strRequest.replaceAll(""straight!"", """");
            }
            if (strRequest.toLowerCase().contains(""gay!"")) {
                strRequestUrl += ""?type=gay"";
                strRequest = strRequest.replaceAll(""gay!"", """");
            }
            if (strRequest.toLowerCase().contains(""cocks!"")) {
                strRequestUrl += ""?type=cocks"";
                strRequest = strRequest.replaceAll(""cocks!"", """");
            }
            if (!strRequestUrl.endsWith(""search"")) strRequestUrl += ""&""; else strRequestUrl += ""?"";
            strRequestUrl += ""query="" + URLEncoder.encode(strRequest, ""UTF-8"");
            if (NoMuleRuntime.DEBUG) System.out.println(strRequestUrl);
            GetMethod get = new GetMethod(strRequestUrl);
            Date d = new Date((new Date()).getTime() + (1 * 24 * 3600 * 1000));
            h.getState().addCookie(new Cookie("".youporn.com"", ""age_check"", ""1"", ""/"", d, false));
            h.executeMethod(get);
            BufferedReader in = new BufferedReader(new InputStreamReader(get.getResponseBodyAsStream()));
            String s = """";
            String res = """";
            while ((s = in.readLine()) != null) {
                res += s;
            }
            get.releaseConnection();
            if (NoMuleRuntime.DEBUG) System.out.println(res);
            String regexp = ""\\<a href\\=\""\\/watch\\/[^\""]+\""\\>[^\\<]+"";
            Pattern p = Pattern.compile(regexp);
            Matcher m = p.matcher(res);
            while (m.find()) {
                int startPos = m.start() + ""<a href=\"""".length();
                String strUrl = ""http://www.youporn.com"";
                int pos = 0;
                for (pos = startPos; pos < m.end() && (res.charAt(pos) != '\""'); pos++) {
                    strUrl += res.charAt(pos);
                }
                String strTitle = res.substring(pos + 2, m.end());
                if (strTitle.trim().length() > 0) ret.add(new SearchResult(strTitle + "" at YouPorn"", strUrl));
            }
            return ret;
        } catch (UnsupportedEncodingException e) {
            e.printStackTrace();
        } catch (HttpException e) {
            e.printStackTrace();
        } catch (IOException e) {
            e.printStackTrace();
        }
        return null;
    }",0,0
"        public void viewFile(int file_nx) {
            FTPClient ftp = new FTPClient();
            boolean error = false;
            try {
                int reply;
                ftp.connect(""tgftp.nws.noaa.gov"");
                ftp.login(""anonymous"", """");
                Log.d(""WXDroid"", ""Connected to tgftp.nws.noaa.gov."");
                Log.d(""WXDroid"", ftp.getReplyString());
                reply = ftp.getReplyCode();
                if (!FTPReply.isPositiveCompletion(reply)) {
                    ftp.disconnect();
                    System.err.println(""FTP server refused connection."");
                    System.exit(1);
                }
                ftp.changeWorkingDirectory(""fax"");
                Log.d(""WXDroid"", ""working directory: "" + ftp.printWorkingDirectory());
                ftp.setFileType(FTPClient.BINARY_FILE_TYPE);
                InputStream img_file = ftp.retrieveFileStream(""PYAA10.gif"");
                Intent intent = new Intent();
                intent.setClass(WXdroid.this, showProgressFTP.class);
                startActivity(intent);
                String storage_state = Environment.getExternalStorageState();
                if (storage_state.contains(""mounted"")) {
                    String filepath = Environment.getExternalStorageDirectory().getAbsolutePath() + ""/NOAAWX/"";
                    File imageDirectory = new File(filepath);
                    File local_file = new File(filepath + ""PYAA10.gif"");
                    OutputStream out = new FileOutputStream(local_file);
                    byte[] buffer = new byte[1024];
                    int count;
                    while ((count = img_file.read(buffer)) != -1) {
                        if (Thread.interrupted() == true) {
                            String functionName = Thread.currentThread().getStackTrace()[2].getMethodName() + ""()"";
                            throw new InterruptedException(""The function "" + functionName + "" was interrupted."");
                        }
                        out.write(buffer, 0, count);
                    }
                    showImage();
                    out.flush();
                    out.close();
                    img_file.close();
                    Log.d(""WXDroid"", ""file saved: "" + filepath + "" "" + local_file);
                } else {
                    Log.d(""WXDroid"", ""The SD card is not mounted"");
                }
                ftp.logout();
                ftp.disconnect();
            } catch (IOException e) {
                error = true;
                e.printStackTrace();
            } catch (InterruptedException e) {
                e.printStackTrace();
            } finally {
                if (ftp.isConnected()) {
                    try {
                        ftp.disconnect();
                    } catch (IOException ioe) {
                    }
                }
            }
        }","    private int[][] balanceMatchDayMatrix(int[][] matrix) {
        for (int i = 0; i < matrix.length; i++) {
            for (int j = i + 1; j < matrix.length; j++) {
                if (matrix[i][j] % 2 != 0) {
                    int tmp = matrix[i][j];
                    matrix[i][j] = matrix[j][i];
                    matrix[j][i] = tmp;
                }
            }
        }
        return matrix;
    }",0,0
"    public static boolean deleteDirectory(File path) {
        if (path.exists()) {
            File[] files = path.listFiles();
            for (int i = 0; i < files.length; i++) {
                if (files[i].isDirectory()) {
                    deleteDirectory(files[i]);
                } else {
                    files[i].delete();
                }
            }
        }
        return (path.delete());
    }","    protected void ConvertSpotColors() {
        int pos = 0, lastPos = 0, prevLastPos = 0;
        String blobAsString = new String(mBlob);
        String rgbCommand = """";
        String cmykCommand = """";
        ByteArrayOutputStream theBlob = new ByteArrayOutputStream();
        Pattern p = Pattern.compile(""\\d+.\\d+ \\d+.\\d+ \\d+.\\d+ setrgbcolor"");
        Matcher m = p.matcher(blobAsString);
        while (m.find()) {
            lastPos = m.end();
            pos = m.start();
            rgbCommand = blobAsString.substring(pos, lastPos);
            cmykCommand = GetCMYKCommand(rgbCommand);
            theBlob.write(mBlob, prevLastPos, pos - prevLastPos);
            theBlob.write(cmykCommand.getBytes(), 0, cmykCommand.length());
            prevLastPos = lastPos;
        }
        theBlob.write(mBlob, prevLastPos, mBlob.length - prevLastPos);
        mBlob = theBlob.toByteArray();
    }",0,0
"    public void login(String a_username, String a_password) throws GB_SecurityException {
        Exception l_exception = null;
        try {
            if (clientFtp == null) {
                clientFtp = new FTPClient();
                clientFtp.connect(""ftp://"" + ftp);
            }
            boolean b = clientFtp.login(a_username, a_password);
            if (b) {
                username = a_username;
                password = a_password;
                return;
            }
        } catch (Exception ex) {
            l_exception = ex;
        }
        String l_msg = ""Cannot login to ftp server with user [{1}], {2}"";
        String[] l_replaces = new String[] { a_username, ftp };
        l_msg = STools.replace(l_msg, l_replaces);
        throw new GB_SecurityException(l_msg, l_exception);
    }","    public Matrix transpose() {
        Matrix X = new Matrix(n, m);
        double[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }",0,0
"    public static double[][] Transpose(double[][] a) {
        if (logger.isLoggable(Level.FINEST)) {
            logger.finest(""Performing Transpose..."");
        }
        int tms = a.length;
        double m[][] = new double[tms][tms];
        for (int i = 0; i < tms; i++) {
            for (int j = 0; j < tms; j++) {
                m[i][j] = a[j][i];
            }
        }
        return m;
    }","    public int getParamIndex(String sql, String parameter) {
        String pat = ""\\{[a-z0-9_]+\\}"";
        Pattern p = Pattern.compile(pat);
        Matcher m = p.matcher(sql);
        int s = 0;
        int i = 1;
        while (m.find(s)) {
            s = m.start();
            if (sql.substring(s, s + parameter.length()).equals(parameter)) return i;
            s = m.end();
            i++;
        }
        throw new RuntimeException(""Failed to find parameter "" + parameter + "" in sql "" + sql);
    }",0,0
