FUNCTION_ONE,FUNCTION_TWO,LABEL
"    public void spellCheck() {
        Highlighter hi = textComp.getHighlighter();
        hi.removeAllHighlights();
        List<String> words = parseText(textComp.getText());
        List<String> misspelledWords = spellCheck(words);
        if (misspelledWords.isEmpty()) {
            return;
        }
        StringBuilder sb = new StringBuilder();
        for (String word : misspelledWords) {
            sb.append(word).append(""|"");
        }
        sb.setLength(sb.length() - 1);
        String patternStr = ""\\b("" + sb.toString() + "")\\b"";
        Pattern pattern = Pattern.compile(patternStr, Pattern.CASE_INSENSITIVE);
        Matcher matcher = pattern.matcher(textComp.getText());
        while (matcher.find()) {
            try {
                hi.addHighlight(matcher.start(), matcher.end(), myPainter);
            } catch (BadLocationException ex) {
            }
        }
    }","    void spellCheck() {
        Highlighter hi = textComp.getHighlighter();
        hi.removeAllHighlights();
        List<String> words = parseText(textComp.getText());
        List<String> misspelledWords = spellCheck(words);
        if (misspelledWords.isEmpty()) {
            return;
        }
        StringBuilder sb = new StringBuilder();
        for (String word : misspelledWords) {
            sb.append(word).append(""|"");
        }
        sb.setLength(sb.length() - 1);
        String patternStr = ""\\b("" + sb.toString() + "")\\b"";
        Pattern pattern = Pattern.compile(patternStr, Pattern.CASE_INSENSITIVE);
        Matcher matcher = pattern.matcher(textComp.getText());
        while (matcher.find()) {
            try {
                hi.addHighlight(matcher.start(), matcher.end(), myPainter);
            } catch (BadLocationException ex) {
            }
        }
    }",1
"        @Override
        public void mouseClicked(MouseEvent e) {
            String link = fixedLink;
            if (link == null) {
                link = JHyperlinkLabel.this.getText();
            }
            if (Desktop.isDesktopSupported()) {
                Desktop desktop = Desktop.getDesktop();
                try {
                    desktop.browse(URI.create(link));
                } catch (IOException ex) {
                    LOG.log(Level.SEVERE, null, ex);
                }
            } else {
            }
        }","        @Override
        public void mouseClicked(MouseEvent e) {
            String link = fixedLink;
            if (link == null) {
                link = JHyperlinkLabel.this.getText();
            }
            if (Desktop.isDesktopSupported()) {
                Desktop desktop = Desktop.getDesktop();
                try {
                    desktop.browse(URI.create(link));
                } catch (IOException ex) {
                    LOG.log(Level.SEVERE, null, ex);
                }
            } else {
                BrowserStarter.displayURL(link);
            }
        }",1
"    public static double[][] transposeMatrix(double[][] vector) {
        double[][] tm = new double[vector[0].length][vector.length];
        for (int i = 0; i < tm.length; i++) {
            for (int j = 0; j < tm[i].length; j++) {
                tm[i][j] = vector[j][i];
            }
        }
        return tm;
    }","    public double[][] transpose(double[][] d) {
        double[][] result = new double[d[0].length][d.length];
        for (int i = 0; i < d.length; i++) {
            for (int j = 0; j < d[i].length; j++) {
                result[j][i] = d[i][j];
            }
        }
        return result;
    }",1
"    public Matrix transpose() {
        Matrix X = new Matrix(n, m);
        double[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }","    public CMatrix transpose() {
        CMatrix X = new CMatrix(n, m);
        Complex[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }",1
"    public Matrix transpose() {
        Matrix X = new Matrix(n, m);
        double[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }","    public PNMatrix transpose() {
        PNMatrix X = new PNMatrix(n, m);
        int[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }",1
"    public static double[][] calcTranspose(double[][] mat) {
        double[][] transpose = new double[mat[0].length][mat.length];
        for (int a = 0; a < transpose.length; a++) {
            for (int b = 0; b < transpose[0].length; b++) {
                transpose[a][b] = mat[b][a];
            }
        }
        return transpose;
    }","    public static double[][] transposeMatrix(double[][] vector) {
        double[][] tm = new double[vector[0].length][vector.length];
        for (int i = 0; i < tm.length; i++) {
            for (int j = 0; j < tm[i].length; j++) {
                tm[i][j] = vector[j][i];
            }
        }
        return tm;
    }",1
"    public static double[][] transposeMatrix(double[][] vector) {
        double[][] tm = new double[vector[0].length][vector.length];
        for (int i = 0; i < tm.length; i++) {
            for (int j = 0; j < tm[i].length; j++) {
                tm[i][j] = vector[j][i];
            }
        }
        return tm;
    }","    public static double[][] transpose(double[][] M) {
        double[][] tM = new double[M[0].length][M.length];
        for (int i = 0; i < tM.length; i++) {
            for (int j = 0; j < tM[0].length; j++) {
                tM[i][j] = M[j][i];
            }
        }
        return tM;
    }",1
"    private double[][] transpose(double[][] in) {
        double[][] out = new double[in[0].length][in.length];
        for (int r = 0; r < in.length; r++) {
            for (int c = 0; c < in[0].length; c++) {
                out[c][r] = in[r][c];
            }
        }
        return out;
    }","    public static double[][] transpose(double[][] M) {
        double[][] tM = new double[M[0].length][M.length];
        for (int i = 0; i < tM.length; i++) {
            for (int j = 0; j < tM[0].length; j++) {
                tM[i][j] = M[j][i];
            }
        }
        return tM;
    }",1
"    public static void main(String[] args) {
        final String dbdriver = ""org.postgresql.Driver"";
        final String dbconnect = ""jdbc:postgresql://localhost:5432/wdb"";
        final String dbuser = ""wcitest"";
        final String dbpasswd = """";
        Connection con = null;
        Statement statement = null;
        try {
            Class.forName(dbdriver);
            con = DriverManager.getConnection(dbconnect, dbuser, dbpasswd);
            statement = con.createStatement();
        } catch (Exception e) {
            System.out.println(""FATAL: cant load the database driver <"" + dbdriver + "">!"");
            System.exit(1);
        }
        String wdbInit = ""SELECT wci.begin('"" + dbuser + ""')"";
        String sql = "" SELECT * "" + "" FROM wci.read( array['test wci 5'], 'POINT( 10.0 59.0 )', "" + ""                '2009-11-13 00:00:00+00', "" + ""                NULL, "" + ""                array['air temperature', "" + ""                      'air pressure'], "" + ""                NULL, "" + ""                array[-1], "" + ""                NULL::wci.returnFloat )"";
        final String colNames[] = { ""value"", ""valueParameterName"", ""validTimeFrom"" };
        ResultSet rs = null;
        try {
            statement.execute(wdbInit);
            rs = statement.executeQuery(sql);
            ResultSetMetaData rsMetaData = rs.getMetaData();
            String data;
            boolean first;
            while (rs.next()) {
                first = true;
                for (String name : colNames) {
                    data = rs.getString(name);
                    if (first) {
                        first = false;
                    } else {
                        System.out.print("", "");
                    }
                    if (data != null) System.out.print(data); else System.out.print(""\\N"");
                }
                System.out.println();
            }
        } catch (Exception ex) {
            System.out.println(""SELECT error: "" + ex);
        } finally {
            if (rs != null) {
                try {
                    rs.close();
                } catch (SQLException ex) {
                    System.out.println(""EXCEPTION: rs.close: "" + ex);
                }
            }
        }
    }","    public static void main(String[] args) {
        final String dbdriver = ""org.postgresql.Driver"";
        final String dbconnect = ""jdbc:postgresql://prologdev1:5432/wdb"";
        final String dbuser = ""guest2"";
        final String dbpasswd = """";
        Connection con = null;
        Statement statement = null;
        try {
            Class.forName(dbdriver);
            con = DriverManager.getConnection(dbconnect, dbuser, dbpasswd);
            statement = con.createStatement();
        } catch (Exception e) {
            System.out.println(""FATAL: cant load the database driver <"" + dbdriver + "">!"");
            System.exit(1);
        }
        String wdbInit = ""SELECT wci.begin('"" + dbuser + ""')"";
        String sql = "" SELECT value, dataProviderName, placeName, placeGeometry,"" + ""        referencetime, "" + ""        validFrom, validTo, "" + ""        valueParameterName, valueParameterUnit, "" + ""        levelParameterName, levelUnitName, levelFrom, levelTo, "" + ""        dataVersion, confidenceCode, storetime, valueid, valuetype "" + "" FROM wci.read( array['hirlam 10'], 'POINT( 10.0 59.0 )', "" + ""                ('2000-01-03 01:00:00', '2000-01-03 01:00:00', 'exact'), "" + ""                NULL, "" + ""                array['instant pressure of air', "" + ""                      'instant temperature of air', "" + ""                      'instant velocity of air (u-component)', "" + ""                      'instant velocity of air (v-component)'], "" + ""                ( 2, 2, 'distance above ground', 'exact' ), "" + ""                array[-1], "" + ""                NULL::wci.returnFloat )"";
        final String colNames[] = { ""value"", ""dataProviderName"", ""placeName"", ""referencetime"", ""validFrom"", ""validTo"", ""valueParameterName"", ""valueParameterUnit"", ""levelParameterName"", ""levelUnitName"", ""levelFrom"", ""levelTo"", ""dataVersion"" };
        ResultSet rs = null;
        try {
            statement.execute(wdbInit);
            rs = statement.executeQuery(sql);
            ResultSetMetaData rsMetaData = rs.getMetaData();
            String data;
            boolean first;
            while (rs.next()) {
                first = true;
                for (String name : colNames) {
                    data = rs.getString(name);
                    if (first) {
                        first = false;
                    } else {
                        System.out.print("", "");
                    }
                    if (data != null) System.out.print(data); else System.out.print(""\\N"");
                }
                System.out.println();
            }
        } catch (Exception ex) {
            System.out.println(""SELECT error: "" + ex);
        } finally {
            if (rs != null) {
                try {
                    rs.close();
                } catch (SQLException ex) {
                    System.out.println(""EXCEPTION: rs.close: "" + ex);
                }
            }
        }
    }",1
"    public void run() {
        try {
            charsExpected = 10000 * (testData[0].length() + testData[1].length());
            String fileName = ""/tmp/out"" + myNumber;
            final Process tac = Runtime.getRuntime().exec(new String[] { PROGRAM, fileName }, null, new File(""/tmp""));
            Thread writer = new Thread() {

                public void run() {
                    DataOutputStream stdin = new DataOutputStream(tac.getOutputStream());
                    try {
                        for (int x = 0; x < 10000; x++) {
                            for (int i = 0; i < testData.length; i++) {
                                charsWritten += testData[i].length();
                                stdin.writeUTF(testData[i]);
                            }
                        }
                        stdin.flush();
                        stdin.close();
                    } catch (IOException e) {
                        throw new Error(""TestRuntimeExec FAILED"");
                    }
                }
            };
            Thread reader = new Thread() {

                public void run() {
                    DataInputStream stdout = new DataInputStream(tac.getInputStream());
                    try {
                        for (int x = 0; x < 10000; x++) {
                            for (int i = 0; i < testData.length; i++) {
                                String in = stdout.readUTF();
                                charsRead += in.length();
                                if (!in.equals(testData[i])) throw new Error(""TestRuntimeExec FAILED: bad input "" + in);
                            }
                        }
                        int exitCode = tac.waitFor();
                        if (exitCode == 0 && charsRead == charsExpected && charsWritten == charsExpected) System.err.println(""TestRuntimeExec SUCCESS""); else System.err.println(""TestRuntimeExec FAILED"");
                    } catch (Throwable e) {
                        e.printStackTrace();
                        throw new Error(""TestRuntimeExec FAILED"");
                    }
                }
            };
            writer.start();
            reader.start();
            final Thread waiter = new Thread() {

                public void run() {
                    try {
                        int exitCode = tac.waitFor();
                        System.out.println(""waitFor(): Process exited with code "" + exitCode);
                    } catch (InterruptedException e) {
                        if (!interruptWait) {
                            System.out.println(""Waiting thread uninterrupted unexpectedly!!!"");
                            System.out.println(""TestRuntimeExec FAILED"");
                            System.exit(1);
                        }
                        System.out.println(""Waiting thread interrupted! (THIS IS GOOD)"");
                        e.printStackTrace();
                    }
                }
            };
            waiter.start();
            if (interruptWait) {
                new Thread() {

                    public void run() {
                        try {
                            Thread.sleep(2000);
                        } catch (Exception e) {
                        }
                        waiter.interrupt();
                    }
                }.start();
            }
            Thread poller = new Thread() {

                public void run() {
                    int exitCode = -99;
                    boolean exited = false;
                    do {
                        try {
                            exitCode = tac.exitValue();
                            exited = true;
                        } catch (IllegalThreadStateException e) {
                            System.out.println(""still alive!"");
                            try {
                                Thread.sleep(1000);
                            } catch (Exception ee) {
                            }
                        }
                    } while (!exited);
                    System.out.println(""exitValue(): Process exited with code "" + exitCode);
                }
            };
            poller.start();
            try {
                reader.join();
                writer.join();
                waiter.join();
                poller.join();
            } catch (InterruptedException eee) {
                eee.printStackTrace();
            }
        } catch (Throwable e) {
            System.err.println(""TestRuntimeExec FAILED with"");
            e.printStackTrace();
            System.exit(1);
        }
    }","    public void run() {
        try {
            charsExpected = 10000 * (testData[0].length() + testData[1].length());
            String fileName = ""/tmp/out"" + myNumber;
            final Process tac = Runtime.getRuntime().exec(new String[] { PROGRAM, fileName }, null, new File(""/tmp""));
            Thread writer = new Thread() {

                public void run() {
                    DataOutputStream stdin = new DataOutputStream(tac.getOutputStream());
                    try {
                        for (int x = 0; x < 10000; x++) {
                            for (int i = 0; i < testData.length; i++) {
                                charsWritten += testData[i].length();
                                stdin.writeUTF(testData[i]);
                            }
                        }
                        stdin.flush();
                        stdin.close();
                    } catch (IOException e) {
                        throw new Error(""TestRuntimeExec FAILED"");
                    }
                }
            };
            Thread reader = new Thread() {

                public void run() {
                    DataInputStream stdout = new DataInputStream(tac.getInputStream());
                    try {
                        for (int x = 0; x < 10000; x++) {
                            for (int i = 0; i < testData.length; i++) {
                                String in = stdout.readUTF();
                                charsRead += in.length();
                                if (!in.equals(testData[i])) throw new Error(""TestRuntimeExec FAILED: bad input "" + in);
                            }
                        }
                        int exitCode = tac.waitFor();
                        if (exitCode == 0 && charsRead == charsExpected && charsWritten == charsExpected) System.err.println(""TestRuntimeExec SUCCESS""); else System.err.println(""TestRuntimeExec FAILED"");
                    } catch (Throwable e) {
                        e.printStackTrace();
                        throw new Error(""TestRuntimeExec FAILED"");
                    }
                }
            };
            writer.start();
            reader.start();
            final Thread waiter = new Thread() {

                public void run() {
                    try {
                        int exitCode = tac.waitFor();
                        System.out.println(""waitFor(): Process exited with code "" + exitCode);
                    } catch (InterruptedException e) {
                        if (!interruptWait) {
                            System.out.println(""Waiting thread uninterrupted unexpectedly!!!"");
                            System.out.println(""TestRuntimeExec FAILED"");
                            System.exit(1);
                        }
                        System.out.println(""Waiting thread interrupted! (THIS IS GOOD)"");
                        e.printStackTrace();
                    }
                }
            };
            waiter.start();
            if (interruptWait) {
                new Thread() {

                    public void run() {
                        try {
                            Thread.sleep(2000);
                        } catch (Exception e) {
                        }
                        waiter.interrupt();
                    }
                }.start();
            }
            Thread poller = new Thread() {

                public void run() {
                    int exitCode = -99;
                    boolean exited = false;
                    do {
                        try {
                            exitCode = tac.exitValue();
                            exited = true;
                        } catch (IllegalThreadStateException e) {
                            System.out.println(""still alive!"");
                            try {
                                Thread.sleep(1000);
                            } catch (Exception ee) {
                            }
                        }
                    } while (!exited);
                    System.out.println(""exitValue(): Process exited with code "" + exitCode);
                }
            };
            poller.start();
            try {
                reader.join();
                writer.join();
                waiter.join();
                poller.join();
            } catch (InterruptedException eee) {
                eee.printStackTrace();
            }
        } catch (Throwable e) {
            System.err.println(""TestRuntimeExec FAILED with"");
            e.printStackTrace();
            System.exit(-1);
        }
    }",1
