FUNCTION_ONE,FUNCTION_TWO,LABEL
"    public static LImage[][] reversalXandY(final LImage[][] array) {
        int col = array[0].length;
        int row = array.length;
        LImage[][] result = new LImage[col][row];
        for (int y = 0; y < col; y++) {
            for (int x = 0; x < row; x++) {
                result[x][y] = array[y][x];
            }
        }
        return result;
    }","    public void test(TestHarness harness) {
        harness.checkPoint(""TestOfMD4"");
        try {
            Security.addProvider(new JarsyncProvider());
            algorithm = MessageDigest.getInstance(""BrokenMD4"", ""JARSYNC"");
        } catch (Exception x) {
            harness.debug(x);
            harness.fail(""TestOfMD4.provider"");
            throw new Error(x);
        }
        try {
            for (int i = 0; i < 64; i++) algorithm.update((byte) 'a');
            byte[] md = algorithm.digest();
            String exp = ""755cd64425f260e356f5303ee82a2d5f"";
            harness.check(exp.equals(Util.toHexString(md)), ""testSixtyFourA"");
        } catch (Exception x) {
            harness.debug(x);
            harness.fail(""TestOfMD4.provider"");
        }
        try {
            harness.verbose(""NOTE: This test may take a while."");
            for (int i = 0; i < 536870913; i++) algorithm.update((byte) 'a');
            byte[] md = algorithm.digest();
            String exp = ""b6cea9f528a85963f7529a9e3a2153db"";
            harness.check(exp.equals(Util.toHexString(md)), ""test536870913A"");
        } catch (Exception x) {
            harness.debug(x);
            harness.fail(""TestOfMD4.provider"");
        }
        try {
            byte[] md = algorithm.digest(""a"".getBytes());
            String exp = ""bde52cb31de33e46245e05fbdbd6fb24"";
            harness.check(exp.equals(Util.toHexString(md)), ""testA"");
        } catch (Exception x) {
            harness.debug(x);
            harness.fail(""TestOfMD4.testA"");
        }
        try {
            byte[] md = algorithm.digest(""abc"".getBytes());
            String exp = ""a448017aaf21d8525fc10ae87aa6729d"";
            harness.check(exp.equals(Util.toHexString(md)), ""testABC"");
        } catch (Exception x) {
            harness.debug(x);
            harness.fail(""TestOfMD4.testABC"");
        }
        try {
            byte[] md = algorithm.digest(""message digest"".getBytes());
            String exp = ""d9130a8164549fe818874806e1c7014b"";
            harness.check(exp.equals(Util.toHexString(md)), ""testMessageDigest"");
        } catch (Exception x) {
            harness.debug(x);
            harness.fail(""TestOfMD4.testMessageDigest"");
        }
        try {
            byte[] md = algorithm.digest(""abcdefghijklmnopqrstuvwxyz"".getBytes());
            String exp = ""d79e1c308aa5bbcdeea8ed63df412da9"";
            harness.check(exp.equals(Util.toHexString(md)), ""testAlphabet"");
        } catch (Exception x) {
            harness.debug(x);
            harness.fail(""TestOfMD4.testAlphabet"");
        }
        try {
            byte[] md = algorithm.digest(""ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789"".getBytes());
            String exp = ""043f8582f241db351ce627e153e7f0e4"";
            harness.check(exp.equals(Util.toHexString(md)), ""testAsciiSubset"");
        } catch (Exception x) {
            harness.debug(x);
            harness.fail(""TestOfMD4.testAsciiSubset"");
        }
        try {
            byte[] md = algorithm.digest(""12345678901234567890123456789012345678901234567890123456789012345678901234567890"".getBytes());
            String exp = ""e33b4ddc9c38f2199c3e7b164fcc0536"";
            harness.check(exp.equals(Util.toHexString(md)), ""testEightyNumerics"");
        } catch (Exception x) {
            harness.debug(x);
            harness.fail(""TestOfMD4.testEightyNumerics"");
        }
        try {
            algorithm.update(""a"".getBytes(), 0, 1);
            clone = (MessageDigest) algorithm.clone();
            byte[] md = algorithm.digest();
            String exp = ""bde52cb31de33e46245e05fbdbd6fb24"";
            harness.check(exp.equals(Util.toHexString(md)), ""testCloning #1"");
            clone.update(""bc"".getBytes(), 0, 2);
            md = clone.digest();
            exp = ""a448017aaf21d8525fc10ae87aa6729d"";
            harness.check(exp.equals(Util.toHexString(md)), ""testCloning #2"");
        } catch (Exception x) {
            harness.debug(x);
            harness.fail(""TestOfMD4.testCloning"");
        }
    }",0
"    private static String simpleCompute(String text) throws NoSuchAlgorithmException, UnsupportedEncodingException {
        MessageDigest md;
        md = MessageDigest.getInstance(""SHA-1"");
        byte[] sha1hash = new byte[40];
        md.update(text.getBytes(""utf-8""), 0, text.length());
        sha1hash = md.digest();
        return convertToHex(sha1hash);
    }","    public static void add100RowsToSourceDB(int block) {
        Scanner source = null;
        Connection connection = null;
        try {
            try {
                Class.forName(""sun.jdbc.odbc.JdbcOdbcDriver"");
                String dbUrl = ""jdbc:odbc:conn"";
                connection = DriverManager.getConnection(dbUrl);
                source = new Scanner(new File(""D:/Priyanka/My/Data/SourceData.csv""));
            } catch (FileNotFoundException e) {
                e.printStackTrace();
            } catch (ClassNotFoundException e) {
                e.printStackTrace();
            }
            int counter = 0;
            source.nextLine();
            int cursor = block * 100;
            while (cursor != 0) {
                cursor--;
                source.nextLine();
            }
            while (source.hasNextLine() && counter < 100) {
                Scanner ls = new Scanner(source.nextLine());
                ls.useDelimiter("","");
                String query = ""INSERT INTO [CompSource].[dbo].[Reading]([hours],[lread],[lwrite],[scall],[sread],[swrite],[fork],[execCalls],[rchar],[wchar],[readingNumber]) VALUES "";
                query += ""( '"" + ls.next() + ""', "" + ls.nextInt() + "", "" + ls.nextInt() + "", "" + ls.nextInt() + "", "" + ls.nextInt() + "", "" + +ls.nextInt() + "", "" + ls.nextDouble() + "", "" + ls.nextDouble() + "", "" + ls.nextDouble() + "", "" + ls.nextDouble() + "", "" + pks + "")"";
                String query2 = ""INSERT INTO [CompSource].[dbo].[PageReading]([pgout],[ppgout],[pgfree],[pgscan],[atch],[pgin],[readingNumber],[pageReadingNumber]) VALUES"";
                query2 += ""( "" + ls.nextDouble() + "", "" + ls.nextDouble() + "", "" + ls.nextDouble() + "", "" + ls.nextDouble() + "", "" + ls.nextDouble() + "", "" + ls.nextDouble() + "", "" + pks + "", "" + spks + "")"";
                pks++;
                spks++;
                Statement statement = ((Connection) connection).createStatement();
                try {
                    statement.executeQuery(query);
                } catch (SQLException e) {
                }
                try {
                    Statement statement2 = ((Connection) connection).createStatement();
                    statement2.executeQuery(query2);
                } catch (SQLException e) {
                }
                counter++;
            }
        } catch (Exception e) {
            e.printStackTrace();
        }
    }",0
"    public void sendMail(String smtpHost, String username, String password, String senderAddress, String recipientsAddress, String subject, String text) {
        MailAuthenticator auth = new MailAuthenticator(username, password);
        Properties properties = new Properties();
        properties.put(""mail.smtp.host"", smtpHost);
        properties.put(""mail.smtp.auth"", ""true"");
        Session session = Session.getDefaultInstance(properties, auth);
        try {
            Message msg = new MimeMessage(session);
            msg.setFrom(new InternetAddress(senderAddress));
            msg.setRecipients(Message.RecipientType.TO, InternetAddress.parse(recipientsAddress, false));
            msg.setSubject(subject);
            msg.setText(text);
            msg.setHeader(""Test"", ""Test"");
            msg.setSentDate(new Date());
            Transport.send(msg);
        } catch (Exception e) {
            e.printStackTrace();
        }
    }","    public static boolean encodeFileToFile(String infile, String outfile) {
        boolean success = false;
        java.io.InputStream in = null;
        java.io.OutputStream out = null;
        try {
            in = new Base64.InputStream(new java.io.BufferedInputStream(new java.io.FileInputStream(infile)), Base64.ENCODE);
            out = new java.io.BufferedOutputStream(new java.io.FileOutputStream(outfile));
            byte[] buffer = new byte[65536];
            int read = -1;
            while ((read = in.read(buffer)) >= 0) {
                out.write(buffer, 0, read);
            }
            success = true;
        } catch (java.io.IOException exc) {
            exc.printStackTrace();
        } finally {
            try {
                in.close();
            } catch (Exception exc) {
            }
            try {
                out.close();
            } catch (Exception exc) {
            }
        }
        return success;
    }",0
"    public static String getMD5(String text) throws NoSuchAlgorithmException, UnsupportedEncodingException {
        MessageDigest md;
        md = MessageDigest.getInstance(""MD5"");
        byte[] md5hash = new byte[32];
        md.update(text.getBytes(""iso-8859-1""), 0, text.length());
        md5hash = md.digest();
        return convertToHex(md5hash);
    }","    public static boolean encodeFileToFile(String infile, String outfile) {
        boolean success = false;
        java.io.InputStream in = null;
        java.io.OutputStream out = null;
        try {
            in = new Base64.InputStream(new java.io.BufferedInputStream(new java.io.FileInputStream(infile)), Base64.ENCODE);
            out = new java.io.BufferedOutputStream(new java.io.FileOutputStream(outfile));
            byte[] buffer = new byte[65536];
            int read = -1;
            while ((read = in.read(buffer)) >= 0) {
                out.write(buffer, 0, read);
            }
            success = true;
        } catch (java.io.IOException exc) {
            exc.printStackTrace();
        } finally {
            try {
                in.close();
            } catch (Exception exc) {
            }
            try {
                out.close();
            } catch (Exception exc) {
            }
        }
        return success;
    }",0
"    private boolean deleteLocalDirectory(File path) {
        if (path.exists()) {
            File[] files = path.listFiles();
            for (int i = 0; i < files.length; i++) {
                if (files[i].isDirectory()) {
                    deleteLocalDirectory(files[i]);
                } else {
                    files[i].delete();
                }
            }
        }
        return (path.delete());
    }","    private void colorizeEdit(StyledText edit) {
        String findResult = edit.getText();
        final Color COLOR_BLUE = dialog.getDisplay().getSystemColor(SWT.COLOR_BLUE);
        int start = 0;
        int index = findResult.indexOf(""\n"");
        while (index != -1) {
            String subString = findResult.substring(start, index);
            if (subString.length() != 0 && subString.startsWith(""("") && subString.endsWith("")"")) {
                StyleRange style = new StyleRange();
                style.start = start;
                style.length = subString.length();
                style.underline = true;
                ((StyledText) editResult).setStyleRange(style);
            } else {
                StyleRange style = new StyleRange();
                style.start = start;
                style.length = subString.length();
                style.foreground = COLOR_BLUE;
                ((StyledText) editResult).setStyleRange(style);
            }
            start = index + 1;
            index = findResult.indexOf(""\n"", index + 1);
        }
        String subString = findResult.substring(start).replace(""\n"", """");
        if (subString.length() != 0 && subString.startsWith(""("") && subString.endsWith("")"")) {
            StyleRange style = new StyleRange();
            style.start = start;
            style.length = subString.length();
            style.underline = true;
            ((StyledText) editResult).setStyleRange(style);
        } else {
            StyleRange style = new StyleRange();
            style.start = start;
            style.length = subString.length();
            style.foreground = COLOR_BLUE;
            ((StyledText) editResult).setStyleRange(style);
        }
        if (!WorkspaceSaveContainerGlobal.findCurrent.equals("""")) {
            final Color COLOR_RED = dialog.getDisplay().getSystemColor(SWT.COLOR_RED);
            if (WorkspaceSaveContainerGlobal.regularExpression) {
                Pattern pattern = null;
                try {
                    if (WorkspaceSaveContainerGlobal.caseSensitive) pattern = Pattern.compile(WorkspaceSaveContainerGlobal.findCurrent); else pattern = Pattern.compile(WorkspaceSaveContainerGlobal.findCurrent, Pattern.CASE_INSENSITIVE);
                } catch (PatternSyntaxException e) {
                    return;
                }
                String[] findResultList = findResult.split(""\n"");
                int findResultListCount = findResultList.length;
                int findResultListIndex;
                int offset = 0;
                for (findResultListIndex = 0; findResultListIndex < findResultListCount; findResultListIndex++) {
                    Matcher matcher = pattern.matcher(findResultList[findResultListIndex]);
                    while (matcher.find()) {
                        int startIndex = matcher.start();
                        int endIndex = matcher.end();
                        StyleRange style = new StyleRange();
                        style.start = startIndex + offset;
                        style.length = endIndex - startIndex;
                        style.fontStyle = SWT.BOLD;
                        style.foreground = COLOR_RED;
                        ((StyledText) editResult).setStyleRange(style);
                    }
                    offset += findResultList[findResultListIndex].length() + 1;
                }
            } else {
                String findCurrentLowerCase = WorkspaceSaveContainerGlobal.findCurrent.toLowerCase();
                String findResultLowerCase = findResult.toLowerCase();
                if (WorkspaceSaveContainerGlobal.caseSensitive) index = findResult.indexOf(WorkspaceSaveContainerGlobal.findCurrent); else index = findResultLowerCase.indexOf(findCurrentLowerCase);
                while (index != -1) {
                    StyleRange style = new StyleRange();
                    style.start = index;
                    style.length = WorkspaceSaveContainerGlobal.findCurrent.length();
                    style.fontStyle = SWT.BOLD;
                    style.foreground = COLOR_RED;
                    ((StyledText) editResult).setStyleRange(style);
                    if (WorkspaceSaveContainerGlobal.caseSensitive) index = findResult.indexOf(WorkspaceSaveContainerGlobal.findCurrent, index + 1); else index = findResultLowerCase.indexOf(findCurrentLowerCase, index + 1);
                }
            }
        }
    }",0
"    public static boolean decodeFileToFile(String infile, String outfile) {
        boolean success = false;
        java.io.InputStream in = null;
        java.io.OutputStream out = null;
        try {
            in = new Base64.InputStream(new java.io.BufferedInputStream(new java.io.FileInputStream(infile)), Base64.DECODE);
            out = new java.io.BufferedOutputStream(new java.io.FileOutputStream(outfile));
            byte[] buffer = new byte[65536];
            int read = -1;
            while ((read = in.read(buffer)) >= 0) {
                out.write(buffer, 0, read);
            }
            success = true;
        } catch (java.io.IOException exc) {
            exc.printStackTrace();
        } finally {
            try {
                in.close();
            } catch (Exception exc) {
            }
            try {
                out.close();
            } catch (Exception exc) {
            }
        }
        return success;
    }","        public void actionPerformed(ActionEvent ae) {
            if (Desktop.isDesktopSupported()) {
                try {
                    Desktop d = Desktop.getDesktop();
                    d.browse(new URI(MasteryCards.GPL_URL));
                } catch (Exception e) {
                    Methods.displaySimpleError(framer, ""Can't access website; check internet connection?\nPlease visit '"" + MasteryCards.GPL_URL + ""' to view GPL"");
                }
            } else {
                Methods.displaySimpleAlert(framer, ""Please visit '"" + MasteryCards.GPL_URL + ""' to view GPL"");
            }
        }",0
"    public static boolean decodeFileToFile(String infile, String outfile) {
        boolean success = false;
        java.io.InputStream in = null;
        java.io.OutputStream out = null;
        try {
            in = new Base64.InputStream(new java.io.BufferedInputStream(new java.io.FileInputStream(infile)), Base64.DECODE);
            out = new java.io.BufferedOutputStream(new java.io.FileOutputStream(outfile));
            byte[] buffer = new byte[65536];
            int read = -1;
            while ((read = in.read(buffer)) >= 0) {
                out.write(buffer, 0, read);
            }
            success = true;
        } catch (java.io.IOException exc) {
            exc.printStackTrace();
        } finally {
            try {
                in.close();
            } catch (Exception exc) {
            }
            try {
                out.close();
            } catch (Exception exc) {
            }
        }
        return success;
    }","    public RealSquareMatrix copyLowerToUpper() {
        for (int i = 0; i < cols - 1; i++) {
            for (int j = i + 1; j < cols; j++) {
                flmat[i][j] = flmat[j][i];
            }
        }
        return this;
    }",0
"    public static String SHA1(String text) throws NoSuchAlgorithmException, UnsupportedEncodingException {
        MessageDigest md;
        md = MessageDigest.getInstance(""SHA-1"");
        byte[] sha1hash = new byte[40];
        md.update(text.getBytes(""iso-8859-1""), 0, text.length());
        sha1hash = md.digest();
        return convertToHex(sha1hash);
    }","    public static double[][] transpose(double[][] a) {
        int rows = a.length;
        int cols = a[0].length;
        double[][] res = new double[cols][rows];
        for (int i = 0; i < rows; i++) {
            for (int j = 0; j < cols; j++) {
                res[j][i] = a[i][j];
            }
        }
        return res;
    }",0
"    public RealSquareMatrix copyLowerToUpper() {
        for (int i = 0; i < cols - 1; i++) {
            for (int j = i + 1; j < cols; j++) {
                flmat[i][j] = flmat[j][i];
            }
        }
        return this;
    }","    public static String replaceTokens(String text, Map<String, String> values) {
        Pattern pattern = Pattern.compile(""\\$\\{(.+?)\\}"");
        Matcher matcher = pattern.matcher(text);
        StringBuilder builder = new StringBuilder();
        int i = 0;
        while (matcher.find()) {
            String replacement = values.get(matcher.group(1));
            builder.append(text.substring(i, matcher.start()));
            if (replacement == null) builder.append(matcher.group(0)); else builder.append(replacement);
            i = matcher.end();
        }
        builder.append(text.substring(i, text.length()));
        return builder.toString();
    }",0
"    public static void copyFiles(File source, File dest) throws IOException {
        FileChannel in = null, out = null;
        try {
            in = new FileInputStream(source).getChannel();
            out = new FileOutputStream(dest).getChannel();
            long size = in.size();
            MappedByteBuffer buf = in.map(FileChannel.MapMode.READ_ONLY, 0, size);
            out.write(buf);
        } finally {
            if (in != null) in.close();
            if (out != null) out.close();
        }
    }","    static void addFile(String entryName, String fileName, ZipOutputStream zout) throws IOException {
        ZipEntry mf = new ZipEntry(entryName);
        File mfm = new File(fileName);
        mf.setSize(mfm.length());
        mf.setTime(mfm.lastModified());
        zout.putNextEntry(mf);
        zout.write(IOUtils.load(mfm));
    }",0
