"FUNCTION_ID_ONE","FUNCTION_ID_TWO","FUNCTION_ONE_NAME","FUNCTION_ONE_TYPE","FUNCTION_ONE_STARTLINE","FUNCTION_ONE_ENDLINE","FUNCTION_TWO_NAME","FUNCTION_TWO_TYPE","FUNCTION_TWO_STARTLINE","FUNCTION_TWO_ENDLINE","FUNCTIONALITY_ID","SYNTACTIC_TYPE","SIMILARITY_LINE","SIMILARITY_TOKEN"
"25975","98358","46306.java","default","54","62","27443.java","default","208","217","31","3","0.545454545454545","0.756756756756757"
"9066291","17630909","1344815.java","selected","57","71","2705691.java","selected","238","254","7","3","0.571428571428571","0.65625"
"10781751","15236778","1733369.java","selected","27","35","70976.java","selected","71","81","41","3","0.538461538461538","0.656565656565657"
"12117054","19685462","238616.java","selected","603","611","1317195.java","selected","52","63","41","3","0.571428571428571","0.897196261682243"
"12117054","13811176","238616.java","selected","603","611","1880284.java","selected","382","391","41","3","0.5","0.693069306930693"
"1123015","1224435","2100462.java","selected","29","43","1877468.java","selected","378","390","39","3","0.5625","0.782178217821782"
"14499002","21492113","1689589.java","selected","906","916","1030949.java","selected","528","537","41","3","0.692307692307692","0.705882352941176"
"299389","4973099","113986.java","default","13","17","527591.java","selected","10","14","20","3","0.571428571428571","0.804347826086957"
"9927331","16536090","2344198.java","selected","109","124","1734265.java","selected","73","83","41","3","0.555555555555556","0.502824858757062"
"13510421","17514790","2223309.java","selected","166","177","2642550.java","selected","146","154","41","3","0.642857142857143","0.678571428571429"
"1362","481375","87418.java","default","5","19","6459.java","default","58","74","7","3","0.5","0.8"
"25975","63853","46306.java","default","54","62","105999.java","default","208","217","31","3","0.545454545454545","0.756756756756757"
"12915827","14313420","1822094.java","selected","36","47","179109.java","selected","300","307","41","3","0.571428571428571","0.46031746031746"
"19250960","19971357","1836276.java","selected","363","371","2636968.java","selected","424","433","41","3","0.5","0.822222222222222"
"16696275","19685462","79766.java","selected","683","693","1317195.java","selected","52","63","41","3","0.5","0.588785046728972"
"4630753","19971357","932718.java","selected","73","83","2636968.java","selected","424","433","41","3","0.692307692307692","0.70873786407767"
"15730395","22677985","1268821.java","selected","193","201","46516.java","selected","146","154","41","3","0.545454545454545","0.616161616161616"
"491382","14258226","44040.java","default","924","935","1616147.java","selected","103","113","24","3","0.5","0.633663366336634"
"14489368","22736886","1370230.java","selected","78","88","2466451.java","selected","290","302","24","3","0.538461538461538","0.666666666666667"
"10869540","19214554","1847721.java","selected","40","47","2315713.java","selected","240","247","41","3","0.5","0.593023255813953"
"3616770","14779144","980861.java","selected","114","123","1006039.java","selected","165","175","24","3","0.636363636363636","0.757575757575758"
"5732150","7808600","2302203.java","selected","30","42","2061945.java","selected","90","101","24","3","0.615384615384615","0.845238095238095"
"2519495","13626740","1499506.java","selected","66","73","595862.java","selected","22","27","23","3","0.5","0.846153846153846"
"13811176","19214554","1880284.java","selected","382","391","2315713.java","selected","240","247","41","3","0.666666666666667","0.707317073170732"
"6842292","8920187","994733.java","selected","242","250","1660343.java","selected","192","204","41","3","0.6","0.573248407643312"
"6409829","19375222","860471.java","selected","73","83","1119061.java","selected","62","70","41","3","0.538461538461538","0.805825242718447"
"413480","4766433","50039.java","default","22","24","2590505.java","selected","151","153","20","3","0.6","0.789473684210526"
"12171653","19987055","2674273.java","selected","236","246","183896.java","selected","65","73","41","3","0.538461538461538","0.623853211009174"
"11531231","19045549","936842.java","selected","256","263","2470676.java","selected","124","133","24","3","0.6","0.76"
"434758","1533478","127161.java","default","132","140","1740323.java","selected","79","86","39","3","0.666666666666667","0.740740740740741"
"1466801","10903468","2095498.java","selected","249","261","1794506.java","selected","179","191","41","3","0.5","0.574193548387097"
"1936695","14313423","1109516.java","selected","143","153","179109.java","selected","336","344","41","3","0.615384615384615","0.529411764705882"
"643813","1618923","27480.java","default","67","79","529249.java","selected","436","452","39","3","0.5","0.659420289855073"
"1561441","23677161","2465371.java","selected","256","265","BinarySearch.java","sample","48","61","14","3","0.538461538461538","0.710280373831776"
"106585","136564","37949.java","default","208","217","79057.java","default","54","62","31","3","0.545454545454545","0.756756756756757"
"19214553","20603727","2315713.java","selected","229","236","16259.java","selected","35","43","41","3","0.545454545454545","0.59375"
"15357254","15911781","2254496.java","selected","284","293","1372864.java","selected","426","435","41","3","0.5","0.557377049180328"
"628780","1050921","56554.java","default","46","54","1781410.java","selected","121","131","39","3","0.545454545454545","0.737704918032787"
"29382","29385","12530.java","default","277","288","12530.java","default","310","320","31","3","0.692307692307692","0.782608695652174"
"2413963","11719424","1778122.java","selected","138","147","957171.java","selected","540","547","41","3","0.5","0.513513513513513"
"12171653","18257889","2674273.java","selected","236","246","2278603.java","selected","194","203","41","3","0.615384615384615","0.743119266055046"
"9346447","15911781","2453374.java","selected","143","151","1372864.java","selected","426","435","41","3","0.583333333333333","0.686868686868687"
"1293659","2362300","2025864.java","selected","172","195","2593900.java","selected","22","48","10","3","0.517241379310345","0.690909090909091"
"3210208","15405473","2309478.java","selected","51","59","535284.java","selected","170","179","41","3","0.5","0.590909090909091"
"17474862","17946906","1727686.java","selected","162","169","1951002.java","selected","327","334","23","3","0.555555555555556","0.708333333333333"
"3410963","7423625","1667210.java","selected","95","111","2114878.java","selected","59","70","24","3","0.529411764705882","0.479166666666667"
"359049","11440870","6774.java","default","9","16","2274744.java","selected","413","422","41","3","0.5","0.58252427184466"
"342725","6631502","61445.java","default","963","974","1667191.java","selected","86","93","24","3","0.583333333333333","0.5"
"1595632","6824302","936388.java","selected","158","177","454268.java","selected","292","310","14","3","0.523809523809524","0.680555555555556"
"3031195","12132058","217085.java","selected","17","28","1880468.java","selected","211","221","24","3","0.583333333333333","0.670886075949367"
"8920187","13002069","1660343.java","selected","192","204","2098840.java","selected","75","83","41","3","0.6","0.573248407643312"
"342725","7423625","61445.java","default","963","974","2114878.java","selected","59","70","24","3","0.5","0.654761904761905"
"14313423","19373644","179109.java","selected","336","344","2587973.java","selected","426","435","41","3","0.666666666666667","0.658536585365854"
"4825983","22571951","100172.java","selected","1171","1180","1677724.java","selected","113","123","41","3","0.571428571428571","0.768421052631579"
"6982182","9012444","1706233.java","selected","487","495","612431.java","selected","342","351","41","3","0.583333333333333","0.725"
"14558797","16930547","1725880.java","selected","173","180","2211592.java","selected","285","292","23","3","0.5","0.649122807017544"
"491382","7039259","44040.java","default","924","935","989781.java","selected","120","132","24","3","0.538461538461538","0.726190476190476"
"6799161","6842292","986192.java","selected","130","141","994733.java","selected","242","250","41","3","0.5","0.630630630630631"
"14731799","18712047","1921563.java","selected","134","144","844874.java","selected","31","39","41","3","0.615384615384615","0.627450980392157"
"986109","14313420","2364886.java","selected","1221","1229","179109.java","selected","300","307","41","3","0.545454545454545","0.575757575757576"
"606579","19685462","92221.java","default","101","109","1317195.java","selected","52","63","41","3","0.5","0.757009345794392"
"6309525","17401582","2592168.java","selected","86","99","2056737.java","selected","10","21","24","3","0.5","0.622222222222222"
"11531231","12451215","936842.java","selected","256","263","1064857.java","selected","23","33","24","3","0.545454545454545","0.494736842105263"
"6689657","16566113","551360.java","selected","627","637","687849.java","selected","531","540","41","3","0.692307692307692","0.705882352941176"
"19371116","19549852","1878770.java","selected","153","162","849450.java","selected","426","435","41","3","0.5","0.853658536585366"
"5682569","23677140","1230586.java","selected","31","45","BubbleSort.java","sample","129","145","7","3","0.588235294117647","0.756756756756757"
"1229100","16563599","849403.java","selected","418","427","2515897.java","selected","17","28","41","3","0.571428571428571","0.75"
"15032727","21940606","1797960.java","selected","322","330","802711.java","selected","539","548","24","3","0.545454545454545","0.613207547169811"
"4016536","13587810","1526490.java","selected","144","158","1757279.java","selected","17","28","24","3","0.533333333333333","0.5"
"241891","842876","117217.java","default","37","39","122409.java","default","22","24","20","3","0.6","0.852941176470588"
"7808600","8974950","2061945.java","selected","90","101","6332.java","selected","185","200","24","3","0.625","0.564285714285714"
"16696275","21420091","79766.java","selected","683","693","1812318.java","selected","425","434","41","3","0.615384615384615","0.779069767441861"
"7635628","10598170","1939092.java","selected","16","27","13733.java","selected","64","76","7","3","0.6","0.782608695652174"
"1229100","8182888","849403.java","selected","418","427","615216.java","selected","349","356","41","3","0.666666666666667","0.707317073170732"
"2315719","17621070","1833863.java","selected","95","103","1791798.java","selected","34","42","13","3","0.5","0.786666666666667"
"5236784","14313421","1202455.java","selected","7","15","179109.java","selected","311","318","41","3","0.545454545454545","0.575757575757576"
"751537","23677135","81170.java","default","3","22","BubbleSort.java","sample","39","55","7","3","0.5","0.703389830508475"
"5236784","6151193","1202455.java","selected","7","15","2308223.java","selected","418","427","41","3","0.583333333333333","0.696969696969697"
"8842301","11184909","2419115.java","selected","27","36","1499680.java","selected","32","45","24","3","0.5","0.62962962962963"
"9485402","12074936","2327701.java","selected","17","27","1033681.java","selected","119","130","24","3","0.666666666666667","0.757575757575758"
"2413962","8920187","1778122.java","selected","127","136","1660343.java","selected","192","204","41","3","0.533333333333333","0.605095541401274"
"359049","1968388","6774.java","default","9","16","1514846.java","selected","23","31","41","3","0.545454545454545","0.621359223300971"
"16385622","19375222","1675335.java","selected","5","16","1119061.java","selected","62","70","41","3","0.5","0.769230769230769"
"1958796","8396790","719494.java","selected","122","127","1063077.java","selected","116","121","23","3","0.5","0.82051282051282"
"5399408","18334481","2056303.java","selected","609","620","1740244.java","selected","29","42","25","3","0.5","0.627906976744186"
"3246942","19594154","475575.java","selected","65","70","582316.java","selected","211","216","23","3","0.5","0.727272727272727"
"8183448","11184909","1102045.java","selected","224","234","1499680.java","selected","32","45","24","3","0.5","0.703703703703704"
"6517610","23677220","209583.java","selected","209","217","TransposeMatrix.java","sample","4","12","41","3","0.545454545454545","0.646464646464646"
"2451218","17621070","662269.java","selected","77","85","1791798.java","selected","34","42","13","3","0.6","0.8"
"163980","556498","133849.java","default","8","21","121101.java","default","11","32","45","3","0.590909090909091","0.559585492227979"
"4298292","12363968","794727.java","selected","21","34","127373.java","selected","412","421","24","3","0.571428571428571","0.393162393162393"
"106585","206078","37949.java","default","208","217","80774.java","default","54","62","31","3","0.545454545454545","0.756756756756757"
"12363968","21564809","127373.java","selected","412","421","349845.java","selected","105","117","24","3","0.538461538461538","0.5"
"2423912","13088707","2366642.java","selected","100","108","743515.java","selected","1241","1248","13","3","0.5","0.805194805194805"
"6631509","18892336","1667191.java","selected","230","237","421806.java","selected","54","67","24","3","0.5","0.558139534883721"
"521113","17630906","126707.java","default","51","64","2705691.java","selected","175","191","7","3","0.523809523809524","0.6125"
"1607807","1760350","1991936.java","selected","161","201","2375833.java","selected","10","47","10","3","0.5","0.547703180212014"
"342729","18892336","61445.java","default","992","1003","421806.java","selected","54","67","24","3","0.5","0.662790697674419"
"2351946","21284074","69878.java","selected","14","25","949275.java","selected","29","41","12","3","0.571428571428571","0.792207792207792"
"10781751","15730395","1733369.java","selected","27","35","1268821.java","selected","193","201","41","3","0.545454545454545","0.737373737373737"
"3616770","9485402","980861.java","selected","114","123","2327701.java","selected","17","27","24","3","0.636363636363636","0.681818181818182"
"9346447","10346675","2453374.java","selected","143","151","2723825.java","selected","230","238","41","3","0.545454545454545","0.656565656565657"
"13510421","16142436","2223309.java","selected","166","177","127068.java","selected","1897","1906","41","3","0.571428571428571","0.696428571428571"
"444047","1390505","24608.java","default","46","54","2488113.java","selected","416","424","39","3","0.666666666666667","0.784615384615385"
"6689657","14313420","551360.java","selected","627","637","179109.java","selected","300","307","41","3","0.538461538461538","0.568627450980392"
"14321944","18257889","39335.java","selected","349","356","2278603.java","selected","194","203","41","3","0.583333333333333","0.553398058252427"
"986079","1612068","2364886.java","selected","517","525","448380.java","selected","535","544","41","3","0.583333333333333","0.693877551020408"
"3616770","16128429","980861.java","selected","114","123","641921.java","selected","55","64","24","3","0.6","0.833333333333333"
"2062674","2474381","2094874.java","selected","169","176","2560459.java","selected","81","86","23","3","0.5","0.775700934579439"
"6419344","19971357","1187637.java","selected","267","276","2636968.java","selected","424","433","41","3","0.5","0.707964601769911"
"3501324","16563599","361180.java","selected","535","544","2515897.java","selected","17","28","41","3","0.571428571428571","0.75"
"6925877","16855327","2096239.java","selected","169","176","734588.java","selected","174","183","23","3","0.545454545454545","0.698924731182796"
"166411","206078","19250.java","default","208","217","80774.java","default","54","62","31","3","0.545454545454545","0.756756756756757"
"1735278","14731799","2379598.java","selected","31","46","1921563.java","selected","134","144","41","3","0.555555555555556","0.73015873015873"
"7707971","11719424","1321014.java","selected","125","133","957171.java","selected","540","547","41","3","0.545454545454545","0.575757575757576"
"9012444","13614426","612431.java","selected","342","351","526365.java","selected","543","552","41","3","0.5","0.566666666666667"
"152578","18892336","68440.java","default","45","61","421806.java","selected","54","67","24","3","0.588235294117647","0.463276836158192"
"1735278","20762045","2379598.java","selected","31","46","868705.java","selected","425","434","41","3","0.5","0.595238095238095"
"374432","1050921","106331.java","default","83","91","1781410.java","selected","121","131","39","3","0.545454545454545","0.721311475409836"
"6882723","15247508","1857154.java","selected","199","210","1893968.java","selected","48","60","41","3","0.533333333333333","0.661290322580645"
"63853","164143","105999.java","default","208","217","31193.java","default","54","62","31","3","0.545454545454545","0.756756756756757"
"4630754","7010440","932718.java","selected","85","95","1359332.java","selected","242","256","41","3","0.526315789473684","0.597560975609756"
"13160464","16677102","33767.java","selected","46","55","273852.java","selected","891","898","13","3","0.6","0.763888888888889"
"521113","4272289","126707.java","default","51","64","2064320.java","selected","5","17","7","3","0.625","0.87037037037037"
"18257888","18306141","2278603.java","selected","185","192","2738010.java","selected","565","572","41","3","0.6","0.654320987654321"
"5732150","17196902","2302203.java","selected","30","42","987631.java","selected","269","279","24","3","0.538461538461538","0.666666666666667"
"19048600","19048601","923002.java","selected","383","407","923002.java","selected","413","453","42","3","0.5","0.529411764705882"
"6157433","12801065","1844745.java","selected","120","129","560725.java","selected","27","37","42","3","0.5","0.622222222222222"
"9807279","12363968","500613.java","selected","154","169","127373.java","selected","412","421","24","3","0.5","0.505494505494505"
"245162","15195064","5490.java","default","3","17","769075.java","selected","5","22","7","3","0.5","0.773584905660377"
"139083","6157433","64575.java","default","49","61","1844745.java","selected","120","129","42","3","0.5","0.657142857142857"
"2413963","20603726","1778122.java","selected","138","147","16259.java","selected","18","26","41","3","0.666666666666667","0.837837837837838"
"14731799","17514789","1921563.java","selected","134","144","2642550.java","selected","133","144","41","3","0.5","0.568627450980392"
"419934","1062620","53295.java","default","51","62","527333.java","selected","52","65","39","3","0.6","0.789473684210526"
"458548","18897847","10482.java","default","22","24","2439889.java","selected","5","7","20","3","0.6","0.882352941176471"
"5732150","14631177","2302203.java","selected","30","42","2494793.java","selected","140","151","24","3","0.538461538461538","0.703703703703704"
"9639110","10848006","1525190.java","selected","83","88","211331.java","selected","591","596","23","3","0.666666666666667","0.842857142857143"
"1211771","1747654","2304941.java","selected","257","269","785129.java","selected","191","201","30","3","0.538461538461538","0.705357142857143"
"537382","22331090","41815.java","default","85","95","1045267.java","selected","28","39","25","3","0.666666666666667","0.782608695652174"
