"FUNCTION_ID_ONE","FUNCTION_ID_TWO","FUNCTION_ONE_NAME","FUNCTION_ONE_TYPE","FUNCTION_ONE_STARTLINE","FUNCTION_ONE_ENDLINE","FUNCTION_TWO_NAME","FUNCTION_TWO_TYPE","FUNCTION_TWO_STARTLINE","FUNCTION_TWO_ENDLINE","FUNCTIONALITY_ID","SYNTACTIC_TYPE","SIMILARITY_LINE","SIMILARITY_TOKEN"
"3616773","12679523","980861.java","selected","150","159","2583640.java","selected","33","42","24","3","0.7","0.811594202898551"
"1366219","1533478","892047.java","selected","45","52","1740323.java","selected","79","86","39","3","0.75","0.931818181818182"
"48482","59363","127497.java","default","61","117","61177.java","default","61","122","36","3","0.753846153846154","0.792576419213974"
"2332","154176","102602.java","default","235","243","75101.java","default","343","349","31","3","0.777777777777778","0.873015873015873"
"4671832","7962427","1210265.java","selected","25","41","1334850.java","selected","31","45","18","3","0.705882352941176","0.66"
"4106017","4106018","1392470.java","selected","71","86","1392470.java","selected","93","110","42","3","0.789473684210526","0.860262008733624"
"17883770","18712047","1578910.java","selected","543","552","844874.java","selected","31","39","41","3","0.833333333333333","0.841463414634146"
"11270029","18196836","2617041.java","selected","46","65","1994958.java","selected","46","65","42","3","0.85","0.885416666666667"
"117149","147918","38786.java","default","61","117","110486.java","default","63","112","36","3","0.8","0.7117903930131"
"2315719","19654781","1833863.java","selected","95","103","918764.java","selected","17","25","13","3","0.7","0.805194805194805"
"6982182","21777343","1706233.java","selected","487","495","2543412.java","selected","222","230","41","3","0.727272727272727","0.938775510204082"
"9210368","16677102","552581.java","selected","79","87","273852.java","selected","891","898","13","3","0.7","0.861111111111111"
"110360","8766039","58352.java","default","22","24","412096.java","selected","9","11","20","3","0.8","0.914285714285714"
"49531","660105","95453.java","default","22","24","113690.java","default","24","26","20","3","0.8","0.941176470588235"
"7839340","23677156","1132772.java","selected","48","55","ShuffleArrayInPlace.java","sample","34","48","13","3","0.727272727272727","0.843373493975904"
"7836028","19045549","1470257.java","selected","232","241","2470676.java","selected","124","133","24","3","0.8","0.886792452830189"
"927501","6494291","20528.java","default","13","17","1252896.java","selected","73","77","20","3","0.714285714285714","0.952380952380952"
"7715939","16882119","6519.java","selected","189","193","2060290.java","selected","275","279","33","3","0.8","0.914285714285714"
"10228159","16566113","2710516.java","selected","215","223","687849.java","selected","531","540","41","3","0.75","0.853658536585366"
"928484","11298700","39843.java","default","13","17","1658863.java","selected","14","18","20","3","0.857142857142857","0.930232558139535"
"1874752","15277533","2140448.java","selected","70","79","1490073.java","selected","65","73","23","3","0.727272727272727","0.793103448275862"
"2062674","8704581","2094874.java","selected","169","176","366521.java","selected","61","67","23","3","0.75","0.850467289719626"
"831611","7849131","103548.java","default","22","24","2080776.java","selected","9","11","20","3","0.8","0.942857142857143"
"714206","11298700","56541.java","default","13","17","1658863.java","selected","14","18","20","3","0.857142857142857","0.930232558139535"
"561941","801665","28101.java","default","19","135","6854.java","default","24","125","32","3","0.868217054263566","0.897940074906367"
"2723889","10228159","2037851.java","selected","59","69","2710516.java","selected","215","223","41","3","0.769230769230769","0.806818181818182"
"161939","374432","100072.java","default","46","54","106331.java","default","83","91","39","3","0.888888888888889","0.981481481481482"
"461258","890226","4977.java","default","25","66","64631.java","default","26","62","32","3","0.761904761904762","0.846394984326019"
"3353836","20609903","45530.java","selected","107","116","1527985.java","selected","553","562","41","3","0.75","0.657407407407407"
"6842292","17122360","994733.java","selected","242","250","1119884.java","selected","577","585","41","3","0.727272727272727","0.826530612244898"
"512227","11298700","31722.java","default","13","17","1658863.java","selected","14","18","20","3","0.857142857142857","0.930232558139535"
"216509","18306140","89783.java","default","16","22","2738010.java","selected","551","558","41","3","0.7","0.903225806451613"
"15845539","18670726","2114402.java","selected","119","128","2164331.java","selected","347","356","24","3","0.7","0.774193548387097"
"820539","6234218","2976.java","default","13","17","1859243.java","selected","12","16","20","3","0.857142857142857","0.952380952380952"
"139734","139739","37159.java","default","527","556","37159.java","default","569","600","31","3","0.870967741935484","0.878306878306878"
"574106","8766039","135212.java","default","22","24","412096.java","selected","9","11","20","3","0.8","0.914285714285714"
"8704581","15998751","366521.java","selected","61","67","1885362.java","selected","42","49","23","3","0.75","0.850467289719626"
"7911954","15998749","1475086.java","selected","21","27","1885362.java","selected","15","22","23","3","0.75","0.792079207920792"
"413525","23677214","22340.java","default","173","178","DeleteFolderRecursively.java","sample","11","17","39","3","0.714285714285714","0.928571428571429"
"81754","7635628","22842.java","default","27","37","1939092.java","selected","16","27","7","3","0.714285714285714","0.848484848484849"
"48482","117806","127497.java","default","61","117","88523.java","default","61","122","36","3","0.753846153846154","0.792576419213974"
"1229100","17468722","849403.java","selected","418","427","2485419.java","selected","233","241","41","3","0.833333333333333","0.841463414634146"
"255647","458548","37682.java","default","5","7","10482.java","default","22","24","20","3","0.8","0.970588235294118"
"241851","6234218","40123.java","default","13","17","1859243.java","selected","12","16","20","3","0.857142857142857","0.952380952380952"
"4630754","14504867","932718.java","selected","85","95","963841.java","selected","58","68","41","3","0.769230769230769","0.902912621359223"
"911774","22324341","99468.java","default","13","17","2196988.java","selected","12","16","20","3","0.857142857142857","0.952380952380952"
"338304","834100","91894.java","default","290","297","120808.java","default","216","223","39","3","0.888888888888889","0.981132075471698"
"820539","23596438","2976.java","default","13","17","825906.java","selected","26","30","20","3","0.857142857142857","0.952380952380952"
"4825983","18257889","100172.java","selected","1171","1180","2278603.java","selected","194","203","41","3","0.75","0.650485436893204"
"6631509","6631513","1667191.java","selected","230","237","1667191.java","selected","373","380","24","3","0.875","0.897959183673469"
"12849793","13983500","1440276.java","selected","162","170","93785.java","selected","150","158","41","3","0.727272727272727","0.929292929292929"
"8704580","23414974","366521.java","selected","44","50","2339104.java","selected","22","27","23","3","0.714285714285714","0.905882352941176"
"939305","22324341","76273.java","default","13","17","2196988.java","selected","12","16","20","3","0.857142857142857","0.952380952380952"
"5454931","6977631","34946.java","selected","263","268","2490913.java","selected","402","408","23","3","0.777777777777778","0.902173913043478"
"9762195","20603727","1848473.java","selected","66","74","16259.java","selected","35","43","41","3","0.727272727272727","0.71875"
"18712047","20762045","844874.java","selected","31","39","868705.java","selected","425","434","41","3","0.833333333333333","0.841463414634146"
"694024","6494291","62476.java","default","13","17","1252896.java","selected","73","77","20","3","0.714285714285714","0.952380952380952"
"16440905","16440953","970915.java","selected","459","470","970915.java","selected","1078","1089","41","3","0.857142857142857","0.968253968253968"
"19654781","19654783","918764.java","selected","17","25","918764.java","selected","37","45","13","3","0.8","0.9375"
"18515107","21183100","1140734.java","selected","433","455","1437552.java","selected","473","500","23","3","0.793103448275862","0.798319327731092"
"1357747","1760180","420047.java","selected","148","155","62556.java","selected","83","90","23","3","0.777777777777778","0.95959595959596"
"49531","8766039","95453.java","default","22","24","412096.java","selected","9","11","20","3","0.8","0.914285714285714"
"6982182","15405473","1706233.java","selected","487","495","535284.java","selected","170","179","41","3","0.833333333333333","0.863636363636364"
"3837844","8182888","271253.java","selected","146","153","615216.java","selected","349","356","41","3","0.7","0.788732394366197"
"115582","116074","30382.java","default","63","112","52894.java","default","61","117","36","3","0.8","0.7117903930131"
"10228159","15131771","2710516.java","selected","215","223","115180.java","selected","377","386","41","3","0.75","0.853658536585366"
"308595","8766039","37647.java","default","22","24","412096.java","selected","9","11","20","3","0.8","0.914285714285714"
"434758","821798","127161.java","default","132","140","115527.java","default","46","54","39","3","0.888888888888889","0.981481481481482"
"567927","660105","130655.java","default","22","24","113690.java","default","24","26","20","3","0.8","0.941176470588235"
"10296435","11531231","313018.java","selected","164","172","936842.java","selected","256","263","24","3","0.777777777777778","0.728813559322034"
"2537400","5079997","2730348.java","selected","266","274","1814816.java","selected","463","471","41","3","0.818181818181818","0.96039603960396"
"564228","23185464","45331.java","default","7","25","1058948.java","selected","9","29","42","3","0.714285714285714","0.88"
"15911781","19389536","1372864.java","selected","426","435","1896417.java","selected","27","35","41","3","0.75","0.817073170731707"
