"FUNCTION_ID_ONE","FUNCTION_ID_TWO","FUNCTION_ONE_NAME","FUNCTION_ONE_TYPE","FUNCTION_ONE_STARTLINE","FUNCTION_ONE_ENDLINE","FUNCTION_TWO_NAME","FUNCTION_TWO_TYPE","FUNCTION_TWO_STARTLINE","FUNCTION_TWO_ENDLINE","FUNCTIONALITY_ID","SYNTACTIC_TYPE","SIMILARITY_LINE","SIMILARITY_TOKEN"
"53722","120778","10254.java","default","13","17","70893.java","default","13","17","20","1","1.0","1.0"
"286789","755767","45353.java","default","13","17","76701.java","default","13","17","20","1","1.0","1.0"
"13728120","15162110","2727594.java","selected","375","384","2286616.java","selected","531","540","41","1","1.0","1.0"
"640609","689532","91928.java","default","13","17","57424.java","default","13","17","20","1","1.0","1.0"
"207271","605829","35785.java","default","13","17","78023.java","default","13","17","20","1","1.0","1.0"
"281237","541801","39836.java","default","13","17","17076.java","default","13","17","20","1","1.0","1.0"
"9514","245913","56276.java","default","25","66","1396.java","default","25","66","32","1","1.0","1.0"
"28135","935195","27366.java","default","13","17","26963.java","default","13","17","20","1","1.0","1.0"
"124388","147993","114338.java","default","13","17","63132.java","default","13","17","20","1","1.0","1.0"
"311166","546906","12148.java","default","13","17","10736.java","default","13","17","20","1","1.0","1.0"
"863588","891390","51387.java","default","13","17","109133.java","default","13","17","20","1","1.0","1.0"
"47562","203506","69900.java","default","54","62","122340.java","default","54","62","31","1","1.0","1.0"
"7761","160205","55192.java","default","13","17","14833.java","default","13","17","20","1","1.0","1.0"
"65493","299389","49650.java","default","13","17","113986.java","default","13","17","20","1","1.0","1.0"
"396828","820622","81946.java","default","13","17","113166.java","default","13","17","20","1","1.0","1.0"
"4133428","19373644","1090867.java","selected","542","551","2587973.java","selected","426","435","41","1","1.0","1.0"
"37840","55697","88856.java","default","246","258","38355.java","default","246","258","34","1","1.0","1.0"
"259443","936424","21979.java","default","13","17","53567.java","default","13","17","20","1","1.0","1.0"
"242005","605829","47340.java","default","13","17","78023.java","default","13","17","20","1","1.0","1.0"
"910479","927501","53413.java","default","13","17","20528.java","default","13","17","20","1","1.0","1.0"
"134256","203505","94122.java","default","44","73","122340.java","default","44","73","31","1","1.0","1.0"
"8887818","20609903","900584.java","selected","444","453","1527985.java","selected","553","562","41","1","1.0","1.0"
"241851","892627","40123.java","default","13","17","120680.java","default","13","17","20","1","1.0","1.0"
"745911","939305","104630.java","default","13","17","76273.java","default","13","17","20","1","1.0","1.0"
