"FUNCTION_ID_ONE","FUNCTION_ID_TWO","FUNCTION_ONE_NAME","FUNCTION_ONE_TYPE","FUNCTION_ONE_STARTLINE","FUNCTION_ONE_ENDLINE","FUNCTION_TWO_NAME","FUNCTION_TWO_TYPE","FUNCTION_TWO_STARTLINE","FUNCTION_TWO_ENDLINE","FUNCTIONALITY_ID","SYNTACTIC_TYPE","SIMILARITY_LINE","SIMILARITY_TOKEN"
"6944319","21238881","1094047.java","selected","70","92","1708708.java","selected","57","79","42","3","0.956521739130435","0.994505494505495"
"14926036","15187702","1238694.java","selected","35","50","2596805.java","selected","39","55","24","3","0.941176470588235","0.928571428571429"
"19560450","21777343","395317.java","selected","124","132","2543412.java","selected","222","230","41","3","0.909090909090909","0.98989898989899"
"8887818","13811176","900584.java","selected","444","453","1880284.java","selected","382","391","41","3","0.916666666666667","0.98780487804878"
"13614426","21655926","526365.java","selected","543","552","1322429.java","selected","988","997","41","3","0.916666666666667","0.98780487804878"
"5236784","9346447","1202455.java","selected","7","15","2453374.java","selected","143","151","41","3","0.909090909090909","0.98989898989899"
"19560450","21884793","395317.java","selected","124","132","515120.java","selected","1754","1762","41","3","0.909090909090909","0.98989898989899"
"13002069","21884793","2098840.java","selected","75","83","515120.java","selected","1754","1762","41","3","0.909090909090909","0.97979797979798"
"14846","91670","127805.java","default","63","112","88126.java","default","63","112","36","3","0.961538461538462","0.906593406593407"
"224200","338353","14511.java","default","48","157","27320.java","default","48","157","34","3","0.991452991452991","0.998542274052478"
"3844626","21884793","2497703.java","selected","387","395","515120.java","selected","1754","1762","41","3","0.909090909090909","0.97979797979798"
"143136","159440","19075.java","default","41","227","5385.java","default","41","226","31","3","0.99492385786802","0.990026595744681"
"5994","329965","121997.java","default","48","157","36962.java","default","48","157","34","3","0.991452991452991","0.998542274052478"
"3518381","22783647","2734364.java","selected","51","61","2710081.java","selected","90","100","24","3","0.916666666666667","0.924731182795699"
"14846","158889","127805.java","default","63","112","120135.java","default","63","112","36","3","0.961538461538462","0.906593406593407"
"453142","558348","106458.java","default","8","20","106083.java","default","250","262","39","3","0.928571428571429","0.989010989010989"
"13811176","21655926","1880284.java","selected","382","391","1322429.java","selected","988","997","41","3","0.916666666666667","0.98780487804878"
"13811176","16566113","1880284.java","selected","382","391","687849.java","selected","531","540","41","3","0.916666666666667","0.98780487804878"
"91897","190877","93930.java","default","37","54","9881.java","default","97","116","31","3","0.909090909090909","0.925465838509317"
"166887","338353","49316.java","default","48","157","27320.java","default","48","157","34","3","0.991452991452991","0.998542274052478"
"6689657","9019939","551360.java","selected","627","637","1062090.java","selected","127","137","41","3","0.923076923076923","0.980392156862745"
"1760352","1760353","2375833.java","selected","88","125","2375833.java","selected","127","163","10","3","0.921052631578947","0.905660377358491"
"15911781","19549852","1372864.java","selected","426","435","849450.java","selected","426","435","41","3","0.916666666666667","0.98780487804878"
"18245","172115","45154.java","default","44","73","22719.java","default","44","73","31","3","0.966666666666667","0.995348837209302"
"323592","384844","52984.java","default","57","80","58326.java","default","18","41","10","3","0.958333333333333","0.988636363636364"
"384844","779185","58326.java","default","18","41","103760.java","default","57","80","10","3","0.958333333333333","0.988636363636364"
"46804","147918","54665.java","default","63","112","110486.java","default","63","112","36","3","0.961538461538462","0.906593406593407"
"11453370","12079426","931602.java","selected","52","66","2372569.java","selected","88","102","23","3","0.9375","0.97841726618705"
"18245","52588","45154.java","default","44","73","72387.java","default","44","73","31","3","0.966666666666667","0.995348837209302"
"322116","1552000","63068.java","default","221","233","801858.java","selected","37","49","39","3","0.928571428571429","0.978021978021978"
"11491566","14837670","852221.java","selected","267","322","88800.java","selected","275","330","41","3","0.955882352941177","0.976234003656307"
"2021567","2021569","884330.java","selected","91","118","884330.java","selected","142","170","6","3","0.96551724137931","0.925714285714286"
"9637143","18517735","1594837.java","selected","59","75","1804161.java","selected","44","60","24","3","0.941176470588235","0.953846153846154"
"10240263","10240264","700474.java","selected","28","40","700474.java","selected","42","54","24","3","0.923076923076923","0.974683544303797"
"20762045","21655926","868705.java","selected","425","434","1322429.java","selected","988","997","41","3","0.916666666666667","0.98780487804878"
"1065137","19665793","2503498.java","selected","109","174","336994.java","selected","107","173","24","3","0.924242424242424","0.958963282937365"
"15911781","19971357","1372864.java","selected","426","435","2636968.java","selected","424","433","41","3","0.916666666666667","0.98780487804878"
"11440870","19373644","2274744.java","selected","413","422","2587973.java","selected","426","435","41","3","0.916666666666667","0.98780487804878"
"3727034","14304659","321861.java","selected","82","99","285457.java","selected","112","129","23","3","0.947368421052632","0.987341772151899"
"6719718","6719719","1648136.java","selected","53","63","1648136.java","selected","65","74","42","3","0.909090909090909","0.852941176470588"
"92772","321738","61132.java","default","48","157","29270.java","default","48","157","34","3","0.991452991452991","0.998542274052478"
"11453370","22421984","931602.java","selected","52","66","939613.java","selected","120","134","23","3","0.9375","0.97841726618705"
"2503193","4085696","1654038.java","selected","111","126","2626685.java","selected","112","126","6","3","0.9375","0.854700854700855"
"539004","21777343","13934.java","default","96","104","2543412.java","selected","222","230","41","3","0.909090909090909","0.98989898989899"
"170096","814503","21745.java","default","172","187","86048.java","default","181","196","39","3","0.944444444444444","0.98159509202454"
"10496861","11937399","316575.java","selected","1214","1256","644492.java","selected","375","417","41","3","0.978723404255319","0.996168582375479"
"88739","3309468","119293.java","default","76","146","1811847.java","selected","77","144","22","3","0.944444444444444","0.953535353535354"
"17663965","21884793","2557108.java","selected","29","37","515120.java","selected","1754","1762","41","3","0.909090909090909","0.97979797979798"
"12499284","16929855","2594846.java","selected","220","284","1577658.java","selected","201","265","6","3","0.984615384615385","0.995726495726496"
