"FUNCTION_ID_ONE","FUNCTION_ID_TWO","FUNCTION_ONE_NAME","FUNCTION_ONE_TYPE","FUNCTION_ONE_STARTLINE","FUNCTION_ONE_ENDLINE","FUNCTION_TWO_NAME","FUNCTION_TWO_TYPE","FUNCTION_TWO_STARTLINE","FUNCTION_TWO_ENDLINE","FUNCTIONALITY_ID","SYNTACTIC_TYPE","SIMILARITY_LINE","SIMILARITY_TOKEN"
"24677","187179","62885.java","default","139","142","24897.java","default","343","352","31","3","0.2","0.475"
"45561","159787","103175.java","default","353","383","77900.java","default","24","125","32","3","0.0877192982456141","0.24375"
"216509","21967782","89783.java","default","16","22","1688723.java","selected","31","52","41","3","0.2","0.25"
"5178821","11426115","2297787.java","selected","340","358","2578463.java","selected","21","59","24","3","0.17948717948718","0.233415233415233"
"1617556","13342437","561744.java","selected","175","197","2471957.java","selected","19","36","42","3","0.24","0.425867507886435"
"145333","312542","1279.java","default","165","762","136294.java","default","5","21","34","3","0.0108191653786708","0.0260554885404102"
"8183448","20043800","1102045.java","selected","224","234","2334751.java","selected","48","76","24","3","0.166666666666667","0.294372294372294"
"41498","97593","59397.java","default","168","202","100442.java","default","373","379","31","3","0.0833333333333334","0.190140845070423"
"277747","412486","110252.java","default","95","147","129988.java","default","26","62","32","3","0.245283018867924","0.56"
"61822","206143","121010.java","default","62","395","113089.java","default","44","73","31","3","0.024","0.047007299270073"
"1293656","1730523","2025864.java","selected","79","112","1781609.java","selected","14","47","10","3","0.214285714285714","0.446808510638298"
"846496","19665793","53088.java","default","33","64","336994.java","selected","107","173","24","3","0.166666666666667","0.505399568034557"
"5995247","15635859","2079758.java","selected","654","671","1892379.java","selected","32","61","42","3","0.193548387096774","0.454198473282443"
"6332191","7892059","621994.java","selected","51","176","803724.java","selected","76","91","42","3","0.046875","0.0932504440497336"
"18837683","21303923","311385.java","selected","38","79","207384.java","selected","101","116","24","3","0.214285714285714","0.248587570621469"
"10802083","23445996","1407785.java","selected","715","1026","788182.java","selected","39","96","23","3","0.0541310541310541","0.0796969696969697"
"4350586","21013174","1288219.java","selected","300","310","609005.java","selected","512","532","23","3","0.19047619047619","0.366666666666667"
"288696","1086130","134472.java","default","317","359","2247417.java","selected","89","93","30","3","0.0227272727272727","0.123529411764706"
"72610","186600","109385.java","default","28","65","84665.java","default","183","344","31","3","0.0666666666666667","0.242744063324538"
"7023771","8396789","273913.java","selected","28","40","1063077.java","selected","105","114","23","3","0.142857142857143","0.611111111111111"
