FUNCTION_ID_ONE,FUNCTIONALITY_ID_ONE,FUNCTION_ONE_NAME,FUNCTION_ONE_TYPE,FUNCTION_ONE_STARTLINE,FUNCTION_ONE_ENDLINE,FUNCTION_ID_TWO,FUNCTIONALITY_ID_TWO,FUNCTION_TWO_NAME,FUNCTION_TWO_TYPE,FUNCTION_TWO_STARTLINE,FUNCTION_TWO_ENDLINE
17474862,23,1727686.java,selected,162,169,6157433,42,1844745.java,selected,120,129
4825983,41,100172.java,selected,1171,1180,1607807,10,1991936.java,selected,161,201
13088707,13,743515.java,selected,1241,1248,8977082,24,687012.java,selected,198,207
1561443,14,2465371.java,selected,324,334,20762045,41,868705.java,selected,425,434
1943456,41,738043.java,selected,317,326,10296435,24,313018.java,selected,164,172
12171653,41,2674273.java,selected,236,246,22331090,25,1045267.java,selected,28,39
49609,36,29267.java,default,58,81,18020198,24,365420.java,selected,381,392
206078,31,80774.java,default,54,62,19654783,13,918764.java,selected,37,45
4825983,41,100172.java,selected,1171,1180,14772409,24,1144523.java,selected,38,47
17704409,41,957763.java,selected,913,922,7946328,24,1297332.java,selected,20,29
14772409,24,1144523.java,selected,38,47,17630906,7,2705691.java,selected,175,191
6350176,24,2331779.java,selected,545,554,18244080,33,784037.java,selected,37,43
15357254,41,2254496.java,selected,284,293,20022021,24,1304439.java,selected,30,42
3618819,41,748535.java,selected,426,435,2451218,13,662269.java,selected,77,85
19371116,41,1878770.java,selected,153,162,2176382,45,1462079.java,selected,26,47
4721884,24,2417484.java,selected,265,274,18244080,33,784037.java,selected,37,43
986079,41,2364886.java,selected,517,525,2519503,23,1499506.java,selected,262,271
21655926,41,1322429.java,selected,988,997,15297119,33,1460580.java,selected,238,297
14598564,41,1542784.java,selected,98,108,10479536,7,182175.java,selected,22,38
693636,10,12420.java,default,520,546,3031195,24,217085.java,selected,17,28
539004,41,13934.java,default,96,104,17921293,24,240831.java,selected,96,108
23677128,6,FTP_ApacheCommonsNet_Samples.java,sample,55,60,23677146,7,BubbleSort.java,sample,238,254
7227330,7,97366.java,selected,40,56,13088021,24,419321.java,selected,1244,1261
9066291,7,1344815.java,selected,57,71,5652166,41,2312307.java,selected,325,335
91751,31,51581.java,default,67,73,115129,7,16411.java,default,5,19
14731799,41,1921563.java,selected,134,144,1618923,39,529249.java,selected,436,452
2725289,41,2158829.java,selected,31,40,434758,39,127161.java,default,132,140
18892336,24,421806.java,selected,54,67,11306668,41,2316374.java,selected,1343,1347
17621068,13,1791798.java,selected,14,22,11710,31,62213.java,default,81,89
17401582,24,2056737.java,selected,10,21,6302678,7,25490.java,selected,1153,1164
2699043,41,2424712.java,selected,109,117,359113,7,111534.java,default,5,19
8359774,7,1962096.java,selected,51,69,17621068,13,1791798.java,selected,14,22
881515,24,134106.java,default,918,929,693644,10,12420.java,default,693,711
2062673,23,2094874.java,selected,153,160,10598170,7,13733.java,selected,64,76
6382436,41,284891.java,selected,95,105,6719734,42,1648136.java,selected,277,293
342729,24,61445.java,default,992,1003,14819978,41,1927162.java,selected,118,133
6925921,7,1039242.java,selected,20,36,211051,31,29342.java,default,208,217
10598170,7,13733.java,selected,64,76,2315719,13,1833863.java,selected,95,103
1666041,41,2296687.java,selected,92,102,940862,7,59892.java,default,3,22
10903468,41,1794506.java,selected,179,191,149672,45,128330.java,default,8,25
17484945,20,592330.java,selected,365,370,23077786,41,987848.java,selected,109,118
3844626,41,2497703.java,selected,387,395,149672,45,128330.java,default,8,25
2413962,41,1778122.java,selected,127,136,20554085,23,1052130.java,selected,15,21
359049,41,6774.java,default,9,16,1533478,39,1740323.java,selected,79,86
8974950,24,6332.java,selected,185,200,6803828,41,519949.java,selected,121,136
643813,39,27480.java,default,67,79,19214556,41,2315713.java,selected,265,273
11862998,24,1253769.java,selected,235,251,22135738,7,136340.java,selected,150,163
19250960,41,1836276.java,selected,363,371,2142503,24,1975126.java,selected,21,34
21297858,41,930352.java,selected,76,86,47562,31,69900.java,default,54,62
11862998,24,1253769.java,selected,235,251,12849793,41,1440276.java,selected,162,170
16696275,41,79766.java,selected,683,693,17401582,24,2056737.java,selected,10,21
21940606,24,802711.java,selected,539,548,986079,41,2364886.java,selected,517,525
1607807,10,1991936.java,selected,161,201,6382436,41,284891.java,selected,95,105
8766039,20,412096.java,selected,9,11,18892336,24,421806.java,selected,54,67
19987055,41,183896.java,selected,65,73,14489368,24,1370230.java,selected,78,88
23677135,7,BubbleSort.java,sample,39,55,9984263,41,1611336.java,selected,17,28
19250960,41,1836276.java,selected,363,371,17158706,24,1429786.java,selected,51,66
556498,45,121101.java,default,11,32,16385622,41,1675335.java,selected,5,16
19373644,41,2587973.java,selected,426,435,19045549,24,2470676.java,selected,124,133
12849793,41,1440276.java,selected,162,170,2062674,23,2094874.java,selected,169,176
41644,31,7356.java,default,54,62,11646825,42,1360732.java,selected,53,70
5399408,25,2056303.java,selected,609,620,17946906,23,1951002.java,selected,327,334
8459967,33,2089577.java,selected,96,153,19654783,13,918764.java,selected,37,45
23672254,20,2599757.java,selected,27,36,19250960,41,1836276.java,selected,363,371
115129,7,16411.java,default,5,19,19371116,41,1878770.java,selected,153,162
13456572,6,1568944.java,selected,83,129,18703321,41,611726.java,selected,264,268
