FUNCTION_ID_ONE,FUNCTIONALITY_ID_ONE,FUNCTION_ONE_NAME,FUNCTION_ONE_TYPE,FUNCTION_ONE_STARTLINE,FUNCTION_ONE_ENDLINE,FUNCTION_ID_TWO,FUNCTIONALITY_ID_TWO,FUNCTION_TWO_NAME,FUNCTION_TWO_TYPE,FUNCTION_TWO_STARTLINE,FUNCTION_TWO_ENDLINE
156839,36,131044.java,default,39,51,7635628,7,1939092.java,selected,16,27
20691201,24,1021772.java,selected,14,30,207271,20,35785.java,default,13,17
266571,10,64671.java,default,18,44,10781751,41,1733369.java,selected,27,35
13030,39,55476.java,default,46,54,145910,31,110890.java,default,202,237
833767,39,57143.java,default,83,91,858382,20,29950.java,default,13,17
48482,36,127497.java,default,61,117,1968388,41,1514846.java,selected,23,31
2413963,41,1778122.java,selected,138,147,2315719,13,1833863.java,selected,95,103
673502,20,69534.java,default,13,17,22116692,33,2213286.java,selected,61,65
2746,20,85301.java,default,13,17,18515107,23,1140734.java,selected,433,455
7352931,20,843174.java,selected,20,28,8842301,24,2419115.java,selected,27,36
20644778,41,2604410.java,selected,463,471,50918,39,39413.java,default,290,297
2996547,45,1404757.java,selected,26,98,60311,39,80413.java,default,101,109
14313423,41,179109.java,selected,336,344,1561435,14,2465371.java,selected,108,117
714206,20,56541.java,default,13,17,5406874,41,2732883.java,selected,106,114
710361,45,103630.java,default,8,22,374432,39,106331.java,default,83,91
580527,10,51911.java,default,57,80,12679523,24,2583640.java,selected,33,42
837155,32,87617.java,default,19,135,820539,20,2976.java,default,13,17
21109744,24,1715487.java,selected,367,384,6882723,41,1857154.java,selected,199,210
20691201,24,1021772.java,selected,14,30,21273051,7,665194.java,selected,487,510
666046,39,86093.java,default,169,177,149672,45,128330.java,default,8,25
834100,39,120808.java,default,216,223,14313423,41,179109.java,selected,336,344
21420091,41,1812318.java,selected,425,434,5676,36,17532.java,default,61,122
14009710,13,2702525.java,selected,70,78,21192,36,74770.java,default,61,122
1612068,41,448380.java,selected,535,544,563744,20,45206.java,default,13,17
15595627,41,2520773.java,selected,179,186,3264929,14,1183324.java,selected,8,17
10303828,23,1666727.java,selected,206,211,4671832,18,1210265.java,selected,25,41
9019939,41,1062090.java,selected,127,137,473026,20,117763.java,default,13,17
1936695,41,1109516.java,selected,143,153,81754,7,22842.java,default,27,37
15194387,23,644987.java,selected,23,32,656000,32,98554.java,default,24,125
21284074,12,949275.java,selected,29,41,18257888,41,2278603.java,selected,185,192
689989,32,9437.java,default,25,66,8640120,24,2022414.java,selected,91,101
550310,32,1604.java,default,24,125,23677135,7,BubbleSort.java,sample,39,55
7436917,13,421582.java,selected,103,111,10844851,41,292515.java,selected,40,50
3989355,20,1544827.java,selected,32,36,14846,36,127805.java,default,63,112
574106,20,135212.java,default,22,24,330418,39,41775.java,default,124,131
20181656,7,1575844.java,selected,803,814,1313371,13,2454556.java,selected,20,30
238320,20,39708.java,default,13,17,986079,41,2364886.java,selected,517,525
574106,20,135212.java,default,22,24,86878,36,2890.java,default,63,112
834100,39,120808.java,default,216,223,13002069,41,2098840.java,selected,75,83
21433001,41,1316903.java,selected,435,444,493860,20,40946.java,default,22,24
19045549,24,2470676.java,selected,124,133,14902624,23,377464.java,selected,172,181
670847,20,114036.java,default,22,24,356561,39,134537.java,default,216,223
11028375,23,2521145.java,selected,301,307,4630753,41,932718.java,selected,73,83
14024,32,120570.java,default,24,125,23675955,24,2475895.java,selected,228,243
858382,20,29950.java,default,13,17,1760180,23,62556.java,selected,83,90
16774111,24,2482020.java,selected,290,298,16440905,41,970915.java,selected,459,470
9639113,23,1525190.java,selected,125,138,833767,39,57143.java,default,83,91
6322228,42,843950.java,selected,9,27,17621069,13,1791798.java,selected,24,32
10228159,41,2710516.java,selected,215,223,23672254,20,2599757.java,selected,27,36
598483,10,109894.java,default,57,80,22116692,33,2213286.java,selected,61,65
881801,39,26064.java,default,46,54,15845539,24,2114402.java,selected,119,128
20660203,7,1728095.java,selected,5,20,17561649,23,729859.java,selected,125,138
14009710,13,2702525.java,selected,70,78,161939,39,100072.java,default,46,54
454281,20,12172.java,default,13,17,864227,10,97964.java,default,57,80
3616770,24,980861.java,selected,114,123,16380022,13,2159649.java,selected,28,36
6982182,41,1706233.java,selected,487,495,881839,20,125703.java,default,13,17
42892,36,33357.java,default,63,112,5079997,41,1814816.java,selected,463,471
6631513,24,1667191.java,selected,373,380,334118,20,57755.java,default,13,17
21273060,7,665194.java,selected,777,814,396828,20,81946.java,default,13,17
20691201,24,1021772.java,selected,14,30,224087,20,59549.java,default,13,17
859991,39,44433.java,default,90,98,398939,29,89288.java,default,101,211
8704581,23,366521.java,selected,61,67,11400348,41,515081.java,selected,30,34
14779144,24,1006039.java,selected,165,175,546906,20,10736.java,default,13,17
4645945,24,2105296.java,selected,81,90,21273051,7,665194.java,selected,487,510
21273055,7,665194.java,selected,607,652,9466326,41,1665475.java,selected,577,589
710361,45,103630.java,default,8,22,1906880,24,1320806.java,selected,187,227
8227164,7,372059.java,selected,33,47,8182888,41,615216.java,selected,349,356
7352931,20,843174.java,selected,20,28,17621069,13,1791798.java,selected,24,32
15405473,41,535284.java,selected,170,179,580527,10,51911.java,default,57,80
16380022,13,2159649.java,selected,28,36,10637999,41,1051350.java,selected,86,96
9477765,23,2530570.java,selected,137,142,15845539,24,2114402.java,selected,119,128
222640,31,104740.java,default,339,351,4106017,42,1392470.java,selected,71,86
34806,32,8091.java,default,25,66,670345,20,549.java,default,13,17
81754,7,22842.java,default,27,37,6138230,13,1718226.java,selected,76,84
13983500,41,93785.java,selected,150,158,6322228,42,843950.java,selected,9,27
6842292,41,994733.java,selected,242,250,7839340,13,1132772.java,selected,48,55
725501,20,19891.java,default,13,17,14731799,41,1921563.java,selected,134,144
673502,20,69534.java,default,13,17,5776558,14,1098325.java,selected,281,298
801665,32,6854.java,default,24,125,474163,29,123784.java,default,98,196
17621071,13,1791798.java,selected,44,52,19685462,41,1317195.java,selected,52,63
15141155,23,251674.java,selected,176,181,116074,36,52894.java,default,61,117
2451218,13,662269.java,selected,77,85,454281,20,12172.java,default,13,17
2353890,41,2705414.java,selected,1209,1251,156839,36,131044.java,default,39,51
22116692,33,2213286.java,selected,61,65,550310,32,1604.java,default,24,125
939305,20,76273.java,default,13,17,14009710,13,2702525.java,selected,70,78
245665,20,46050.java,default,13,17,18712047,41,844874.java,selected,31,39
6719729,42,1648136.java,selected,222,235,21183100,23,1437552.java,selected,473,500
20660203,7,1728095.java,selected,5,20,165907,20,97910.java,default,13,17
21273060,7,665194.java,selected,777,814,45025,39,107650.java,default,173,178
398939,29,89288.java,default,101,211,383960,30,44688.java,default,160,251
23677156,13,ShuffleArrayInPlace.java,sample,34,48,13620417,24,2645497.java,selected,255,266
646016,10,31118.java,default,18,44,15194387,23,644987.java,selected,23,32
13811176,41,1880284.java,selected,382,391,14560249,24,709779.java,selected,81,90
6719725,42,1648136.java,selected,162,173,5652166,41,2312307.java,selected,325,335
135138,20,24290.java,default,22,24,15549036,23,2577087.java,selected,41,49
766640,32,76347.java,default,26,62,7839340,13,1132772.java,selected,48,55
2537400,41,2730348.java,selected,266,274,541801,20,17076.java,default,13,17
10228159,41,2710516.java,selected,215,223,936424,20,53567.java,default,13,17
6719729,42,1648136.java,selected,222,235,8868514,23,584246.java,selected,272,278
16677102,13,273852.java,selected,891,898,1666041,41,2296687.java,selected,92,102
23539531,41,2397265.java,selected,391,463,379080,20,104755.java,default,13,17
763710,7,102270.java,default,58,74,145910,31,110890.java,default,202,237
16774111,24,2482020.java,selected,290,298,18688917,33,729493.java,selected,14,18
59200,20,39091.java,default,13,17,50918,39,39413.java,default,290,297
400358,39,67282.java,default,83,91,144769,10,135319.java,default,18,44
156839,36,131044.java,default,39,51,1968388,41,1514846.java,selected,23,31
881801,39,26064.java,default,46,54,21273055,7,665194.java,selected,607,652
14598564,41,1542784.java,selected,98,108,15910370,20,1798809.java,selected,44,46
23677122,6,FTP_ApacheCommonsNet_Samples.java,sample,11,16,334118,20,57755.java,default,13,17
911774,20,99468.java,default,13,17,5454931,23,34946.java,selected,263,268
139739,31,37159.java,default,569,600,6689657,41,551360.java,selected,627,637
8359774,7,1962096.java,selected,51,69,16882119,33,2060290.java,selected,275,279
23677196,31,FileChooser.java,sample,38,65,17467511,13,358857.java,selected,174,182
11270029,42,2617041.java,selected,46,65,80963,39,4342.java,default,46,54
634190,20,107006.java,default,20,22,8182888,41,615216.java,selected,349,356
115582,36,30382.java,default,63,112,59328,31,54039.java,default,294,308
2204402,24,555015.java,selected,687,697,9477765,23,2530570.java,selected,137,142
453142,39,106458.java,default,8,20,7227330,7,97366.java,selected,40,56
2850082,45,2237182.java,selected,22,38,271833,32,14340.java,default,19,135
6982182,41,1706233.java,selected,487,495,120114,36,40028.java,default,54,76
17621071,13,1791798.java,selected,44,52,266571,10,64671.java,default,18,44
159787,32,77900.java,default,24,125,299389,20,113986.java,default,13,17
660105,20,113690.java,default,24,26,13620416,24,2645497.java,selected,239,250
299389,20,113986.java,default,13,17,20328640,13,1752902.java,selected,178,188
3324262,41,594135.java,selected,210,218,117149,36,38786.java,default,61,117
21109744,24,1715487.java,selected,367,384,1968388,41,1514846.java,selected,23,31
6631502,24,1667191.java,selected,86,93,513246,20,128215.java,default,13,17
222640,31,104740.java,default,339,351,21939507,23,1919406.java,selected,56,61
17331818,20,256969.java,selected,16,18,222640,31,104740.java,default,339,351
15845539,24,2114402.java,selected,119,128,881801,39,26064.java,default,46,54
437273,20,65335.java,default,24,26,49610,36,29267.java,default,87,109
22567360,23,84634.java,selected,87,94,20609903,41,1527985.java,selected,553,562
374149,32,77072.java,default,25,66,19654781,13,918764.java,selected,17,25
9477765,23,2530570.java,selected,137,142,2746,20,85301.java,default,13,17
21939507,23,1919406.java,selected,56,61,76607,32,81694.java,default,24,125
15911781,41,1372864.java,selected,426,435,21940605,24,802711.java,selected,528,537
911774,20,99468.java,default,13,17,49610,36,29267.java,default,87,109
16677102,13,273852.java,selected,891,898,458548,20,10482.java,default,22,24
48482,36,127497.java,default,61,117,16677102,13,273852.java,selected,891,898
10844851,41,292515.java,selected,40,50,8842301,24,2419115.java,selected,27,36
17619207,41,1219581.java,selected,653,657,154062,32,119716.java,default,19,135
224087,20,59549.java,default,13,17,1366219,39,892047.java,selected,45,52
8766039,20,412096.java,selected,9,11,2451218,13,662269.java,selected,77,85
3283992,41,2605626.java,selected,1061,1068,3416138,23,1475283.java,selected,313,318
18712047,41,844874.java,selected,31,39,9210368,13,552581.java,selected,79,87
4106018,42,1392470.java,selected,93,110,7707971,41,1321014.java,selected,125,133
19389536,41,1896417.java,selected,27,35,10296435,24,313018.java,selected,164,172
23677135,7,BubbleSort.java,sample,39,55,543575,10,64845.java,default,18,49
2413963,41,1778122.java,selected,138,147,59363,36,61177.java,default,61,122
20660203,7,1728095.java,selected,5,20,744497,45,110908.java,default,8,29
15821142,41,1760795.java,selected,40,95,660105,20,113690.java,default,24,26
725501,20,19891.java,default,13,17,16743155,23,2557833.java,selected,167,172
2353890,41,2705414.java,selected,1209,1251,22683,34,21199.java,default,655,795
255647,20,37682.java,default,5,7,11400348,41,515081.java,selected,30,34
23677197,31,FileChooser.java,sample,67,94,20578109,41,1702294.java,selected,312,391
14631177,24,2494793.java,selected,140,151,541801,20,17076.java,default,13,17
564228,42,45331.java,default,7,25,3616773,24,980861.java,selected,150,159
7836028,24,1470257.java,selected,232,241,666046,39,86093.java,default,169,177
6963063,7,1004029.java,selected,5,20,15998749,23,1885362.java,selected,15,22
23185464,42,1058948.java,selected,9,29,1954654,19,2364940.java,selected,20,26
271833,32,14340.java,default,19,135,12962394,13,1821592.java,selected,891,898
6429432,41,2216293.java,selected,338,388,162020,32,85997.java,default,18,134
23677220,41,TransposeMatrix.java,sample,4,12,921626,32,45706.java,default,25,66
2353890,41,2705414.java,selected,1209,1251,330418,39,41775.java,default,124,131
11719427,41,957171.java,selected,583,591,815304,39,131301.java,default,90,98
113681,10,15247.java,default,57,80,17561649,23,729859.java,selected,125,138
23677138,7,BubbleSort.java,sample,93,109,561708,32,137389.java,default,26,62
16380022,13,2159649.java,selected,28,36,17561649,23,729859.java,selected,125,138
23677138,7,BubbleSort.java,sample,93,109,9477765,23,2530570.java,selected,137,142
16788,36,50602.java,default,41,60,17883770,41,1578910.java,selected,543,552
21163435,23,2671715.java,selected,603,608,23677144,7,BubbleSort.java,sample,201,217
561941,32,28101.java,default,19,135,207292,20,135130.java,default,22,24
2699043,41,2424712.java,selected,109,117,842876,20,122409.java,default,22,24
307528,20,48270.java,default,22,24,13614426,41,526365.java,selected,543,552
10972333,23,93041.java,selected,639,644,224087,20,59549.java,default,13,17
13030,39,55476.java,default,46,54,3291256,43,566061.java,selected,143,163
395956,45,69501.java,default,9,26,564228,42,45331.java,default,7,25
1494474,23,2372304.java,selected,98,111,757635,32,89049.java,default,26,62
10972333,23,93041.java,selected,639,644,6631509,24,1667191.java,selected,230,237
23677134,7,BubbleSort.java,sample,21,37,22567360,23,84634.java,selected,87,94
22116692,33,2213286.java,selected,61,65,550310,32,1604.java,default,24,125
396828,20,81946.java,default,13,17,6517610,41,209583.java,selected,209,217
202151,20,57783.java,default,13,17,7707971,41,1321014.java,selected,125,133
2204402,24,555015.java,selected,687,697,666046,39,86093.java,default,169,177
159787,32,77900.java,default,24,125,820983,45,92768.java,default,386,498
820622,20,113166.java,default,13,17,17621069,13,1791798.java,selected,24,32
130683,31,15356.java,default,208,245,255647,20,37682.java,default,5,7
18688917,33,729493.java,selected,14,18,14598564,41,1542784.java,selected,98,108
1561435,14,2465371.java,selected,108,117,15131771,41,115180.java,selected,377,386
22324341,20,2196988.java,selected,12,16,935624,39,71042.java,default,46,54
1239587,39,257575.java,selected,118,128,2725289,41,2158829.java,selected,31,40
11184909,24,1499680.java,selected,32,45,17331818,20,256969.java,selected,16,18
23677137,7,BubbleSort.java,sample,75,91,23414974,23,2339104.java,selected,22,27
5079997,41,1814816.java,selected,463,471,11531231,24,936842.java,selected,256,263
14631177,24,2494793.java,selected,140,151,14902624,23,377464.java,selected,172,181
271833,32,14340.java,default,19,135,946511,20,91574.java,default,13,17
223969,10,58395.java,default,57,80,4671832,18,1210265.java,selected,25,41
1968388,41,1514846.java,selected,23,31,461151,20,98860.java,default,13,17
139734,31,37159.java,default,527,556,694024,20,62476.java,default,13,17
22567360,23,84634.java,selected,87,94,20609903,41,1527985.java,selected,553,562
59328,31,54039.java,default,294,308,21498404,41,1911150.java,selected,187,196
34806,32,8091.java,default,25,66,14731799,41,1921563.java,selected,134,144
6589981,23,2221389.java,selected,202,212,563744,20,45206.java,default,13,17
519360,32,38977.java,default,26,62,1313371,13,2454556.java,selected,20,30
5776558,14,1098325.java,selected,281,298,512227,20,31722.java,default,13,17
6719729,42,1648136.java,selected,222,235,10637999,41,1051350.java,selected,86,96
206984,45,6489.java,default,733,843,7227330,7,97366.java,selected,40,56
11719427,41,957171.java,selected,583,591,4328783,20,2721156.java,selected,22,26
8452131,6,1222008.java,selected,47,76,660105,20,113690.java,default,24,26
2699043,41,2424712.java,selected,109,117,418058,39,51983.java,default,124,131
481375,7,6459.java,default,58,74,110360,20,58352.java,default,22,24
8766039,20,412096.java,selected,9,11,937056,32,118413.java,default,25,66
937056,32,118413.java,default,25,66,986079,41,2364886.java,selected,517,525
12962394,13,1821592.java,selected,891,898,928484,20,39843.java,default,13,17
1954654,19,2364940.java,selected,20,26,9225969,7,1695775.java,selected,96,110
8766039,20,412096.java,selected,9,11,14321943,41,39335.java,selected,335,342
23596438,20,825906.java,selected,26,30,744497,45,110908.java,default,8,29
855132,39,108143.java,default,83,91,189986,10,9310.java,default,18,44
21655926,41,1322429.java,selected,988,997,8704581,23,366521.java,selected,61,67
203113,20,96830.java,default,13,17,17619207,41,1219581.java,selected,653,657
301956,45,73701.java,default,9,28,314561,20,46902.java,default,13,17
23677214,39,DeleteFolderRecursively.java,sample,11,17,46804,36,54665.java,default,63,112
598483,10,109894.java,default,57,80,821503,20,66539.java,default,13,17
1954654,19,2364940.java,selected,20,26,890226,32,64631.java,default,26,62
133838,30,20708.java,default,71,84,1612068,41,448380.java,selected,535,544
12962394,13,1821592.java,selected,891,898,2413962,41,1778122.java,selected,127,136
19654780,13,918764.java,selected,7,15,757697,45,58183.java,default,1587,1694
