FUNCTION_ID_ONE,FUNCTIONALITY_ID_ONE,FUNCTION_ONE_NAME,FUNCTION_ONE_TYPE,FUNCTION_ONE_STARTLINE,FUNCTION_ONE_ENDLINE,FUNCTION_ID_TWO,FUNCTIONALITY_ID_TWO,FUNCTION_TWO_NAME,FUNCTION_TWO_TYPE,FUNCTION_TWO_STARTLINE,FUNCTION_TWO_ENDLINE
4284518,23,1712367.java,selected,97,111,473026,20,117763.java,default,13,17
168666,32,27177.java,default,353,383,19160002,41,2429321.java,selected,141,168
842876,20,122409.java,default,22,24,271833,32,14340.java,default,19,135
43996,31,88421.java,default,321,329,16142436,41,127068.java,selected,1897,1906
842876,20,122409.java,default,22,24,1243879,24,722394.java,selected,207,221
916274,20,100919.java,default,13,17,189496,31,118045.java,default,44,73
147668,20,80028.java,default,13,17,203506,31,122340.java,default,54,62
37840,34,88856.java,default,246,258,910479,20,53413.java,default,13,17
12079426,23,2372569.java,selected,88,102,164143,31,31193.java,default,54,62
714206,20,56541.java,default,13,17,19663005,23,2096828.java,selected,152,166
881801,39,26064.java,default,46,54,10968095,12,2269578.java,selected,7,18
172115,31,22719.java,default,44,73,61633,41,68153.java,default,166,241
161939,39,100072.java,default,46,54,15131771,41,115180.java,selected,377,386
4272110,23,2701118.java,selected,88,102,775735,20,11030.java,default,13,17
4088561,23,2081236.java,selected,281,287,299389,20,113986.java,default,13,17
489466,20,42254.java,default,13,17,293190,32,69335.java,default,353,383
912097,20,96501.java,default,13,17,6881493,24,315000.java,selected,141,180
519360,32,38977.java,default,26,62,842876,20,122409.java,default,22,24
689532,20,57424.java,default,13,17,319419,30,49591.java,default,117,131
1243879,24,722394.java,selected,207,221,134257,31,94122.java,default,54,62
15042,31,96497.java,default,54,62,238320,20,39708.java,default,13,17
61633,41,68153.java,default,166,241,147993,20,63132.java,default,13,17
37840,34,88856.java,default,246,258,353068,20,123780.java,default,13,17
640609,20,91928.java,default,13,17,293190,32,69335.java,default,353,383
863588,20,51387.java,default,13,17,21420091,41,1812318.java,selected,425,434
881839,20,125703.java,default,13,17,14313421,41,179109.java,selected,311,318
15131771,41,115180.java,selected,377,386,863588,20,51387.java,default,13,17
134257,31,94122.java,default,54,62,775735,20,11030.java,default,13,17
245913,32,1396.java,default,25,66,922793,30,10998.java,default,116,130
670345,20,549.java,default,13,17,15041,31,96497.java,default,44,73
61716,31,83133.java,default,54,62,162828,20,105863.java,default,13,17
21420091,41,1812318.java,selected,425,434,359836,20,86457.java,default,13,17
311166,20,12148.java,default,13,17,169210,34,66437.java,default,48,157
75540,31,30877.java,default,44,73,319419,30,49591.java,default,117,131
19549852,41,849450.java,selected,426,435,379080,20,104755.java,default,13,17
4284518,23,1712367.java,selected,97,111,338353,34,27320.java,default,48,157
812840,20,16496.java,default,13,17,5236784,41,1202455.java,selected,7,15
168320,34,12753.java,default,48,157,520193,20,101144.java,default,13,17
8924049,23,2593456.java,selected,89,103,314561,20,46902.java,default,13,17
189496,31,118045.java,default,44,73,775735,20,11030.java,default,13,17
19549852,41,849450.java,selected,426,435,537782,32,132654.java,default,24,125
2290016,41,1564632.java,selected,141,168,718537,20,76337.java,default,13,17
359836,20,86457.java,default,13,17,4825983,41,100172.java,selected,1171,1180
134256,31,94122.java,default,44,73,473026,20,117763.java,default,13,17
279855,20,120185.java,default,13,17,18688917,33,729493.java,selected,14,18
169905,31,126039.java,default,54,62,725501,20,19891.java,default,13,17
654166,39,130166.java,default,290,297,6881493,24,315000.java,selected,141,180
453142,39,106458.java,default,8,20,4825983,41,100172.java,selected,1171,1180
323592,10,52984.java,default,57,80,147668,20,80028.java,default,13,17
662161,39,80687.java,default,137,149,487413,20,7413.java,default,13,17
13614426,41,526365.java,selected,543,552,842876,20,122409.java,default,22,24
308595,20,37647.java,default,22,24,4088561,23,2081236.java,selected,281,287
418058,39,51983.java,default,124,131,661980,20,41976.java,default,13,17
92772,34,61132.java,default,48,157,123800,31,114161.java,default,54,62
353068,20,123780.java,default,13,17,526734,32,81983.java,default,18,134
169905,31,126039.java,default,54,62,519360,32,38977.java,default,26,62
474316,20,130398.java,default,13,17,34806,32,8091.java,default,25,66
4284518,23,1712367.java,selected,97,111,123800,31,114161.java,default,54,62
843064,20,72306.java,default,13,17,22421984,23,939613.java,selected,120,134
14357939,23,2180965.java,selected,87,101,14313421,41,179109.java,selected,311,318
