FUNCTION_ID_ONE,FUNCTIONALITY_ID_ONE,FUNCTION_ONE_NAME,FUNCTION_ONE_TYPE,FUNCTION_ONE_STARTLINE,FUNCTION_ONE_ENDLINE,FUNCTION_ID_TWO,FUNCTIONALITY_ID_TWO,FUNCTION_TWO_NAME,FUNCTION_TWO_TYPE,FUNCTION_TWO_STARTLINE,FUNCTION_TWO_ENDLINE
8452133,6,1222008.java,selected,106,126,21273056,7,665194.java,selected,654,699
6409832,41,860471.java,selected,107,122,145912,31,110890.java,default,239,257
2413963,41,1778122.java,selected,138,147,14772409,24,1144523.java,selected,38,47
18378776,7,2643652.java,selected,88,108,11154758,6,611689.java,selected,9,30
21273053,7,665194.java,selected,537,570,13068087,42,386952.java,selected,150,160
4106020,42,1392470.java,selected,141,156,11937399,41,644492.java,selected,375,417
7727384,42,2519659.java,selected,135,158,5770152,41,1344177.java,selected,29,208
9083948,25,981218.java,selected,73,154,13728120,41,2727594.java,selected,375,384
581819,30,11981.java,default,315,466,22713046,41,1385666.java,selected,1195,1237
91670,36,88126.java,default,63,112,8071084,42,350268.java,selected,637,657
49611,36,29267.java,default,115,137,8071085,42,350268.java,selected,669,690
20680657,7,1912418.java,selected,59,80,19321,34,9441.java,default,48,157
10517812,25,2178641.java,selected,33,119,18407593,41,2036885.java,selected,91,189
115582,36,30382.java,default,63,112,12267275,24,2042278.java,selected,160,169
2503193,6,1654038.java,selected,111,126,537382,25,41815.java,default,85,95
11937399,41,644492.java,selected,375,417,8786313,7,2406121.java,selected,18,30
6138230,13,1718226.java,selected,76,84,61715,31,83133.java,default,44,73
22677,34,21199.java,default,284,443,19260977,7,4649.java,selected,69,89
20614174,41,93071.java,selected,1194,1236,1672992,39,1192896.java,selected,20,33
4272110,23,2701118.java,selected,88,102,779185,10,103760.java,default,57,80
7412290,41,2149595.java,selected,220,228,3518381,24,2734364.java,selected,51,61
8071085,42,350268.java,selected,669,690,206143,31,113089.java,default,44,73
12034341,42,2547090.java,selected,71,86,11154758,6,611689.java,selected,9,30
4133428,41,1090867.java,selected,542,551,14304659,23,285457.java,selected,112,129
17630910,7,2705691.java,selected,259,275,2699043,41,2424712.java,selected,109,117
103256,31,35551.java,default,571,586,10947776,24,1128200.java,selected,86,125
203505,31,122340.java,default,44,73,13402674,41,2331165.java,selected,118,133
18517735,24,1804161.java,selected,44,60,321738,34,29270.java,default,48,157
3746738,23,284272.java,selected,107,121,1760351,10,2375833.java,selected,49,86
9008146,23,2012585.java,selected,172,193,4721884,24,2417484.java,selected,265,274
42892,36,33357.java,default,63,112,15115902,41,1321892.java,selected,426,435
862524,30,28121.java,default,315,466,23677160,14,BinarySearch.java,sample,32,46
61489,31,30142.java,default,152,164,120112,36,40028.java,default,8,176
17175167,33,1950614.java,selected,101,115,178490,39,68539.java,default,33,40
19044529,6,1103983.java,selected,43,72,21273055,7,665194.java,selected,607,652
112088,34,94873.java,default,1438,1524,8786313,7,2406121.java,selected,18,30
19044529,6,1103983.java,selected,43,72,3844626,41,2497703.java,selected,387,395
333457,34,79128.java,default,48,157,2451218,13,662269.java,selected,77,85
2537400,41,2730348.java,selected,266,274,170096,39,21745.java,default,172,187
10031370,12,1638888.java,selected,7,18,5701319,23,1782576.java,selected,94,108
8071084,42,350268.java,selected,637,657,616054,30,85594.java,default,117,222
47558,36,33328.java,default,63,112,20578109,41,1702294.java,selected,312,391
20780880,41,1297679.java,selected,263,362,47558,36,33328.java,default,63,112
1109951,39,589951.java,selected,523,529,13728120,41,2727594.java,selected,375,384
15115902,41,1321892.java,selected,426,435,17630905,7,2705691.java,selected,154,170
19164864,24,2480556.java,selected,159,168,18378776,7,2643652.java,selected,88,108
59329,31,54039.java,default,310,326,15932545,41,1040058.java,selected,132,169
14489368,24,1370230.java,selected,78,88,25974,31,46306.java,default,44,73
14560249,24,709779.java,selected,81,90,8452133,6,1222008.java,selected,106,126
17630907,7,2705691.java,selected,196,212,1607809,10,1991936.java,selected,254,293
323592,10,52984.java,default,57,80,147918,36,110486.java,default,63,112
45374,31,30150.java,default,44,73,581819,30,11981.java,default,315,466
1293657,10,2025864.java,selected,114,145,10937054,6,282532.java,selected,9,31
2021567,6,884330.java,selected,91,118,225907,41,3471.java,default,149,224
80830,30,48824.java,default,117,222,6151193,41,2308223.java,selected,418,427
13068087,42,386952.java,selected,150,160,206077,31,80774.java,default,44,73
18412513,13,1176476.java,selected,141,166,13400152,41,671154.java,selected,32,118
6088697,13,1985930.java,selected,141,166,779185,10,103760.java,default,57,80
2021569,6,884330.java,selected,142,170,12335351,41,240671.java,selected,771,779
891762,25,96001.java,default,85,95,112054,30,94873.java,default,391,568
224200,34,14511.java,default,48,157,9083948,25,981218.java,selected,73,154
12499284,6,2594846.java,selected,220,284,10517812,25,2178641.java,selected,33,119
6799162,41,986192.java,selected,164,201,3038286,24,2316385.java,selected,85,124
727437,10,12832.java,default,57,80,10547321,41,2596291.java,selected,16,194
19214556,41,2315713.java,selected,265,273,1655162,10,1080768.java,selected,117,151
190877,31,9881.java,default,97,116,14009710,13,2702525.java,selected,70,78
8887818,41,900584.java,selected,444,453,22677,34,21199.java,default,284,443
120115,36,40028.java,default,82,103,13614426,41,526365.java,selected,543,552
539004,41,13934.java,default,96,104,727437,10,12832.java,default,57,80
10937054,6,282532.java,selected,9,31,14949264,23,1982410.java,selected,15,26
2699043,41,2424712.java,selected,109,117,2159455,23,92861.java,selected,191,198
9019939,41,1062090.java,selected,127,137,2488455,14,2514455.java,selected,9,17
10240263,24,700474.java,selected,28,40,541185,10,16109.java,default,57,80
20409792,42,405978.java,selected,240,263,22718442,23,653668.java,selected,167,174
19214556,41,2315713.java,selected,265,273,6719719,42,1648136.java,selected,65,74
15911781,41,1372864.java,selected,426,435,280471,34,28484.java,default,655,795
223122,34,121029.java,default,43,152,20578109,41,1702294.java,selected,312,391
1607807,10,1991936.java,selected,161,201,10052160,24,2166691.java,selected,245,255
61489,31,30142.java,default,152,164,8640120,24,2022414.java,selected,91,101
