FUNCTION_ID_ONE,FUNCTIONALITY_ID_ONE,FUNCTION_ONE_NAME,FUNCTION_ONE_TYPE,FUNCTION_ONE_STARTLINE,FUNCTION_ONE_ENDLINE,FUNCTION_ID_TWO,FUNCTIONALITY_ID_TWO,FUNCTION_TWO_NAME,FUNCTION_TWO_TYPE,FUNCTION_TWO_STARTLINE,FUNCTION_TWO_ENDLINE
12849787,41,1440276.java,selected,81,95,1870114,42,2722404.java,selected,120,151
29385,31,12530.java,default,310,320,9133208,41,852958.java,selected,881,898
7010440,41,1359332.java,selected,242,256,1076874,24,17904.java,selected,133,146
147079,31,17660.java,default,117,140,20446515,42,1975802.java,selected,246,264
161939,39,100072.java,default,46,54,21264443,23,575789.java,selected,16,62
491386,24,44040.java,default,953,964,19047757,42,2433669.java,selected,73,127
13031564,6,897597.java,selected,103,163,3207327,41,2341814.java,selected,114,125
1202104,39,1211155.java,selected,134,146,9892428,42,1310682.java,selected,147,166
12690725,6,1274548.java,selected,145,165,15115902,41,1321892.java,selected,426,435
1466801,41,2095498.java,selected,249,261,11502010,42,1540961.java,selected,93,106
10937054,6,282532.java,selected,9,31,21884793,41,515120.java,selected,1754,1762
15876943,41,483920.java,selected,257,263,13008409,23,442168.java,selected,85,95
120433,42,75028.java,default,77,143,330418,39,41775.java,default,124,131
1824959,30,1929059.java,selected,865,896,17059598,42,1378577.java,selected,135,146
13322784,42,1829517.java,selected,128,151,9466324,41,1665475.java,selected,546,558
4471924,42,982218.java,selected,230,280,13400152,41,671154.java,selected,32,118
61851,36,118395.java,default,35,60,14801161,42,933742.java,selected,36,62
15194391,23,644987.java,selected,110,123,16319456,42,742034.java,selected,26,48
19445719,6,2273395.java,selected,30,50,15443409,41,1843806.java,selected,136,176
13324051,24,940559.java,selected,709,939,2863405,23,559816.java,selected,137,144
1760180,23,62556.java,selected,83,90,20762045,41,868705.java,selected,425,434
412486,32,129988.java,default,26,62,21055910,6,708096.java,selected,735,764
14136709,24,1812149.java,selected,125,136,529986,7,64326.java,default,16,27
13298341,41,1466496.java,selected,47,76,16743156,23,2557833.java,selected,174,206
2985988,24,1542559.java,selected,53,75,6719718,42,1648136.java,selected,53,63
