FUNCTION_ONE,FUNCTION_TWO,LABEL,PREDICT,COT
"    private static Object resizeArray(Object oldArray, int newSize) {
        int oldSize = java.lang.reflect.Array.getLength(oldArray);
        Class elementType = oldArray.getClass().getComponentType();
        Object newArray = java.lang.reflect.Array.newInstance(elementType, newSize);
        int preserveLength = Math.min(oldSize, newSize);
        if (preserveLength > 0) System.arraycopy(oldArray, 0, newArray, 0, preserveLength);
        return newArray;
    }","    public static CLocation convertSecondaryStructure(String secondary) {
        CLocation location = new CLocation();
        String regex = ""H+|E+"";
        Pattern pattern = Pattern.compile(regex);
        Matcher matcher = pattern.matcher(secondary);
        while (matcher.find()) {
            if (matcher.group().substring(0, 1).equals(""H"")) location.add(""H"", matcher.start(), matcher.end()); else if (matcher.group().substring(0, 1).equals(""E"")) location.add(""E"", matcher.start(), matcher.end());
        }
        return location;
    }",0,0,"好的，我现在需要判断这两个Java代码片段是否是克隆代码。首先，我得仔细看一下两个方法的功能。第一个方法是resizeArray，它的功能是调整数组的大小，创建一个新数组，然后复制旧数组的部分内容到新数组。第二个方法是convertSecondaryStructure，看起来是处理一个字符串，根据正则表达式匹配结果来填充一个CLocation对象。

接下来，我按照克隆分类的标准来分析。首先看是否是T1类型，也就是语法相同仅空格或注释差异。显然这两个代码结构完全不同，功能也不一样，所以排除T1。然后是T2，变量名或字面值差异。这两个方法不仅变量名不同，连使用的类和方法都不一样，所以T2也不符合。

接下来是T3，有语句级的增删改。这里两个方法的结构差异很大，没有明显的语句修改或调整。一个是操作数组，另一个是处理字符串匹配，所以T3也不适用。最后是T4，语法不同但功能相同。这里两者的功能完全不同，一个是数组扩容，另一个是解析二级结构字符串，所以功能上也没有相似性。

综合来看，这两个代码片段在语法和语义上都没有相似之处，功能也完全不同，因此不属于任何类型的代码克隆。所以应该输出0。
"
"    public Matrix transpose() {
        Matrix X = new Matrix(n, m);
        double[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }","    public void save(String oid, String key, Serializable obj) throws PersisterException {
        String lock = getLock(oid);
        if (lock == null) {
            throw new PersisterException(""Object does not exist: OID = "" + oid);
        } else if (!NULL.equals(lock) && (!lock.equals(key))) {
            throw new PersisterException(""The object is currently locked with another key: OID = "" + oid + "", LOCK = "" + lock + "", KEY = "" + key);
        }
        Connection conn = null;
        PreparedStatement ps = null;
        try {
            byte[] data = serialize(obj);
            conn = _ds.getConnection();
            conn.setAutoCommit(true);
            ps = conn.prepareStatement(""update "" + _table_name + "" set "" + _data_col + "" = ?, "" + _ts_col + "" = ? where "" + _oid_col + "" = ?"");
            ps.setBinaryStream(1, new ByteArrayInputStream(data), data.length);
            ps.setLong(2, System.currentTimeMillis());
            ps.setString(3, oid);
            ps.executeUpdate();
        } catch (Throwable th) {
            if (conn != null) {
                try {
                    conn.rollback();
                } catch (Throwable th2) {
                }
            }
            throw new PersisterException(""Failed to save object: OID = "" + oid, th);
        } finally {
            if (ps != null) {
                try {
                    ps.close();
                } catch (Throwable th) {
                }
            }
            if (conn != null) {
                try {
                    conn.close();
                } catch (Throwable th) {
                }
            }
        }
    }",0,0,"好的，我现在需要判断这两段Java代码是否是代码克隆。首先，我得仔细看看这两段代码的功能和结构。

第一段代码是Matrix类的transpose方法，用于转置矩阵。它创建了一个新矩阵X，然后通过双重循环将原矩阵A的行列交换赋值给X的对应位置，最后返回X。结构上主要是循环和数组操作。

第二段代码是save方法，属于持久化相关的功能。它处理数据库连接，执行更新操作，处理异常，并在finally块中关闭资源。这里涉及数据库操作、异常处理、资源管理，逻辑相对复杂。

接下来根据克隆类型分析。T1是语法相同仅有空格或注释差异，显然这两段代码结构完全不同，排除T1。T2是变量名或字面值不同，但结构相同。这里方法的功能和结构差异太大，变量名也不同，不是T2。T3是有语句级别的增删改，但两段代码的语句结构完全不同，没有明显的语句修改。T4是语法不同但功能相同，但这里两个方法的功能完全不同，一个是矩阵转置，另一个是保存数据到数据库，功能无关联。

因此，这两段代码既没有相同的结构，也没有实现相同的功能，不属于任何类型的代码克隆。所以应该输出0。
"
"    public static void shuffle(int[] array, int n) {
        for (int i = 1; i < n; ++i) {
            int swap = s_random.nextInt(i + 1);
            int temp = array[swap];
            array[swap] = array[i];
            array[i] = temp;
        }
    }","    private void launchLocalFile() {
        if (Desktop.isDesktopSupported()) {
            try {
                Desktop desktop = Desktop.getDesktop();
                desktop.browse(getCurrentFile().toURI());
            } catch (IOException ex) {
                JOptionPane.showMessageDialog(null, ""Could not display file."");
            }
        }
    }",0,0,"好的，我需要判断这两段Java代码是否是克隆代码。首先看一下代码片段1，它是一个静态方法shuffle，参数是int数组和一个整数n。方法内部有一个循环，从i=1开始到n，每次生成一个随机数swap，然后交换数组中的元素。看起来像是一个洗牌算法，比如Fisher-Yates的变种。

然后是代码片段2，方法名是launchLocalFile，没有返回值。它检查Desktop是否支持，然后尝试用Desktop打开一个文件，如果出错就显示对话框。这明显是和文件操作相关的，处理的是桌面应用的浏览文件功能。

现在根据克隆分类标准分析。T1要求语法相同仅空格或注释不同，这里两个方法结构完全不同，循环和条件语句结构差异大，显然不是T1。T2需要变量名或字面值不同，但语法结构相同。这里两个方法的功能完全不同，一个洗牌，一个打开文件，结构也不一样，所以T2也不符合。T3是语句级增删改，但两个方法的逻辑和语句结构都不同，没有明显的修改关系。T4是语法不同但功能相同，但这里两个方法的功能完全不同，一个是数组操作，另一个是文件处理，所以T4也不适用。

因此，这两段代码不属于任何类型的代码克隆，应该输出0。
"
"    public static int binarySearch(Object[] a, Object key) {
        int low = 0;
        int high = a.length - 1;
        while (low <= high) {
            int mid = (low + high) / 2;
            Object midVal = a[mid];
            int cmp = ((Comparable) midVal).compareTo(key);
            if (cmp < 0) low = mid + 1; else if (cmp > 0) high = mid - 1; else return mid;
        }
        return -(low + 1);
    }","    public Matrix transpose() {
        Matrix X = new Matrix(n, m);
        double[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }",0,0,"好的，我需要判断这两段Java代码是否是克隆代码。首先，我要仔细看看它们的结构和功能。

第一段代码是一个二分查找的实现。函数接收一个对象数组和一个键值，通过循环计算中间位置，比较中间值和键值的大小，调整搜索范围，直到找到目标或结束循环返回插入点。代码结构主要是循环和条件判断，使用了Comparable接口进行比较。

第二段代码是矩阵转置的方法。创建了一个新矩阵，然后通过双重循环将原矩阵的行列互换存入新矩阵中。这里主要涉及数组的遍历和元素的位置交换，没有条件判断，结构上是嵌套循环。

接下来按照克隆类型分析。T1要求语法相同，除了空格或注释，显然这两段代码结构不同，一个是二分查找，一个是矩阵转置，语法结构差异大，排除T1。T2需要变量名或字面值不同，但两段代码的功能完全不同，变量和方法结构都不一致，所以T2也不符合。T3要求有语句级别的增删改，但这里两个函数的功能和实现方式完全不同，不是简单的语句修改。T4是语法不同但功能相同，但显然它们的功能完全不同，一个是搜索，一个是矩阵操作，所以也不满足。

因此，这两段代码既没有相同的语法结构，也没有相同的功能，不属于任何类型的代码克隆。应该输出0。
"
"    private void computeMImatrix() {
        int numInAtt = NUM_ATTRIBUTES - 1;
        m_MImatrix = new double[numInAtt][numInAtt];
        for (int i = 0; i < numInAtt; i++) {
            for (int j = i; j < numInAtt; j++) {
                m_MImatrix[i][j] = getAttAttMI(i, j);
                m_MImatrix[j][i] = m_MImatrix[i][j];
            }
        }
    }","            public void actionPerformed(ActionEvent e) {
                if (Desktop.isDesktopSupported()) {
                    try {
                        Desktop.getDesktop().browse(new URI(""http://popcornforum.de/forumdisplay.php?fid=67""));
                    } catch (Exception exc) {
                        JOptionPane.showMessageDialog(null, ""Could not acces http://popcornforum.de/forumdisplay.php?fid=67"", ""Error"", JOptionPane.ERROR_MESSAGE);
                    }
                }
            }",0,0,"好的，我现在需要判断这两段Java代码是否是克隆代码。根据用户提供的分类标准，T1到T4中的任意一种都算克隆。先看一下两段代码的结构和功能。

第一段代码computeMImatrix()方法主要是计算一个互信息矩阵。它初始化了一个二维数组，然后通过双重循环填充数据，对称地设置矩阵的值。第二段代码actionPerformed是一个事件处理方法，尝试用默认浏览器打开一个URL，如果失败则显示错误对话框。

从语法结构来看，第一段有循环和数组操作，而第二段是条件判断和异常处理。它们的代码结构和目的完全不同。功能上，一个是数学计算，另一个是GUI事件处理。变量名、方法结构都没有相似之处。因此这两段代码既不在语法上相似，也不在功能上等价，所以不属于任何类型的克隆。应该输出0。
"
"    public static double[][] invertMatrix(double[][] matrix) {
        int firstDimentionOfResultMatrix = matrix[0].length;
        int secondDimentionOfResultMatrix = matrix.length;
        double[][] resultMatrix = new double[firstDimentionOfResultMatrix][secondDimentionOfResultMatrix];
        for (int i = 0; i < matrix.length; i++) {
            for (int j = 0; j < matrix[0].length; j++) {
                resultMatrix[j][i] = matrix[i][j];
            }
        }
        return resultMatrix;
    }","    @Override
    protected void afterSave(File outFile) {
        Desktop desktop = null;
        if (Desktop.isDesktopSupported()) {
            desktop = Desktop.getDesktop();
            try {
                desktop.open(outFile);
            } catch (IOException e) {
                e.printStackTrace();
            }
        }
    }",0,0,"嗯，我现在需要分析这两个Java代码片段是否是克隆代码。首先，我得仔细看看两个方法的功能和结构。

第一个方法是invertMatrix，它的作用是反转矩阵。它接收一个二维double数组作为参数，然后创建一个新的结果矩阵，行列维度交换。然后通过双重循环，将原矩阵的行列转置，赋值给结果矩阵。最后返回这个转置后的矩阵。看起来这就是一个矩阵转置的实现，逻辑比较直接，就是遍历每个元素，交换行列索引。

第二个方法是afterSave，带有@Override注解，看起来是覆盖某个父类的方法。它接收一个File对象，尝试用桌面应用打开这个文件。首先检查Desktop是否支持，然后获取Desktop实例，并调用open方法打开文件，捕获可能的IOException。这个方法的目的是在保存文件后自动打开它，属于文件操作相关的功能。

现在根据克隆的分类标准，T1到T4。T1是语法相同，只有空格或注释不同，这两个方法明显结构不同，功能也不同，所以排除T1。T2是变量名或字面值不同，但结构相同，但这里两个方法的功能完全不同，一个矩阵转置，一个打开文件，变量名和结构也不相似。T3是语句级的增删改，但这两个方法的代码块结构差异很大，一个是双重循环处理矩阵，一个是条件检查和方法调用，没有明显的语句级修改。T4是语法不同但功能相同，但这里两个方法的功能完全不同，一个是数学运算，一个是文件处理，所以不符合T4。

所以这两个代码片段的功能完全不同，结构也不同，不属于任何类型的代码克隆。因此应该输出0。
"
"            public void actionPerformed(ActionEvent e) {
                String sql = ""insert into jadwalUjian values('"" + FieldNim.getText() + ""','"" + FieldNama.getText() + ""','"" + FieldTtl.getText() + ""','"" + FieldJk.getText() + ""')"";
                if (FieldNim.getText().trim().equals("""")) {
                    JOptionPane.showMessageDialog(frame, ""Nama Mata_Pelajaran Wajib di Isi"", ""Simpan Data"", JOptionPane.WARNING_MESSAGE);
                    FieldNim.requestFocus();
                } else {
                    try {
                        Connection connection = DriverManager.getConnection(""jdbc:odbc:db_Sekolah"");
                        Statement statement = connection.createStatement();
                        statement.executeUpdate(sql);
                        statement.close();
                        FieldNim.setText("""");
                        FieldNama.setText("""");
                        FieldTtl.setText("""");
                        FieldJk.setText("""");
                        JOptionPane.showMessageDialog(frame, ""Simpan berhasil"", ""Simpan Data"", JOptionPane.WARNING_MESSAGE);
                        FieldNim.requestFocus();
                        FieldNim.requestFocus();
                        FieldNim.requestFocus();
                    } catch (Exception exc) {
                        System.err.println(""Error : "" + exc);
                    }
                }
            }","    public void browseTo(String url) {
        if (Desktop.isDesktopSupported()) {
            Desktop desktop = Desktop.getDesktop();
            try {
                desktop.browse(new URI(url));
            } catch (IOException e) {
                e.printStackTrace();
            } catch (URISyntaxException e) {
                e.printStackTrace();
            }
        }
    }",0,0,"好的，我现在需要判断这两个Java代码片段是否是克隆代码。首先，我要仔细阅读这两个方法，看看它们的结构和功能有什么相似之处。

第一个方法是actionPerformed，看起来是一个事件处理方法。它构建了一个SQL插入语句，然后检查输入字段是否为空。如果为空，显示警告；否则，连接数据库执行插入，并清除字段。这里有很多数据库操作和UI交互。

第二个方法是browseTo，接收一个URL参数，使用Desktop类来打开浏览器访问这个URL。这里主要处理的是桌面应用的浏览器跳转，涉及异常处理，但和数据库无关。

接下来，按照克隆分类标准来分析。T1要求语法相同，只有空格或注释差异。显然这两个方法的结构完全不同，一个是处理数据库插入，另一个是打开URL，语法结构差异很大，所以不可能是T1。

T2要求语法相同但变量名或字面值不同。虽然两者都是方法，但变量名和逻辑完全不同，没有明显的重命名变量或修改字面值的情况，因此也不符合T2。

T3是语句级别的增删改。两个方法的代码块完全不同，没有相似的控制结构或语句顺序，所以不符合T3。

T4是语法不同但功能相同。第一个方法的功能是保存数据到数据库，第二个是打开网页。功能完全不同，所以T4也不符合。

所以，这两个代码段在语法和语义上都不同，不属于任何克隆类型，应该返回0。
"
"            public void actionPerformed(ActionEvent e) {
                if (filechooser == null) {
                    filechooser = new JFileChooser();
                    filechooser.setFileSelectionMode(JFileChooser.FILES_ONLY);
                }
                if (filechooser.showOpenDialog(ImageDisplay.this) == JFileChooser.APPROVE_OPTION) {
                    open(filechooser.getSelectedFile());
                }
            }","    public static <T> void shuffle(T[] a) {
        Random random = new Random();
        for (int i = a.length - 1; i > 0; i--) {
            int j = random.nextInt(i + 1);
            T swap = a[i];
            a[i] = a[j];
            a[j] = swap;
        }
    }",0,0,"好的，我现在需要分析这两段Java代码是否为代码克隆。首先，我要仔细阅读两段代码，理解它们的功能和结构。

第一段代码是actionPerformed方法，属于事件处理，当用户执行某个动作时触发。它检查filechooser是否为null，如果是就创建新的JFileChooser实例并设置文件选择模式。然后显示打开对话框，如果用户确认，就调用open方法打开选中的文件。

第二段代码是一个泛型方法shuffle，用于打乱数组的顺序。它使用随机数生成器，从数组末尾开始，每次随机选择一个前面的索引，然后交换元素，实现洗牌效果。

接下来，根据代码克隆的分类标准来判断。首先看是否属于T1，即语法相同仅有空格或注释差异。显然这两段代码结构不同，一个是事件处理，另一个是数组操作，语法结构差异很大，所以排除T1。

然后是T2，语法相同但变量名或字面值不同。这里两段代码的功能完全不同，变量名和方法结构都不一样，所以T2也不符合。

T3是存在语句级别的增删改。虽然两者都有循环和条件判断，但实现的功能截然不同。第一段代码处理文件选择，第二段是数组元素交换，没有语句上的相似性，因此不符合T3。

最后是T4，语法不同但功能相同。这里两段代码的功能完全不同，一个是打开文件，另一个是打乱数组顺序，功能上没有重叠，所以T4也不适用。

综上，这两段代码在语法和语义层面都没有相似性，不属于任何类型的代码克隆。因此应该输出0。
"
"    public Matrix transpose() {
        Matrix X = new Matrix(n, m);
        double[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }","    public static void open(URI uri) {
        if (Desktop.isDesktopSupported()) {
            Desktop desktop = Desktop.getDesktop();
            try {
                desktop.browse(uri);
            } catch (IOException e) {
            }
        } else {
        }
    }",0,0,"好，我现在需要判断这两段Java代码是否是克隆代码。首先，我得仔细看看这两段代码各自的功能。

第一段代码是transpose方法，属于Matrix类。它创建了一个新的Matrix对象X，然后通过双重循环将原矩阵A的行列转置到新矩阵C中，最后返回X。这明显是矩阵转置的操作，涉及到数组的遍历和元素交换位置。

第二段代码是open方法，参数是URI。它检查Desktop是否支持，然后获取Desktop实例并调用browse方法打开URI。这里处理的是桌面应用的操作，比如打开浏览器。异常处理部分捕获了IOException但没做处理，还有空的else块，可能平台不支持时的处理。

接下来，我需要根据克隆分类标准来分析。首先看T1，语法相同但空格或注释不同。这两段代码的结构差异很大，一个是矩阵转置，另一个是打开URI，显然不属于T1。

然后是T2，变量名或字面值不同。但这里不仅仅是变量名不同，整个逻辑结构完全不同。一个用双重循环处理数组，另一个调用API处理URI。所以也不符合T2。

T3的话，是否有语句级别的增删改？显然这两段代码的功能完全不同，没有语句的简单修改能导致相似功能，所以T3也不符合。

最后是T4，语法不同但功能相同。这里两个方法的功能完全不同，一个是数学运算，一个是系统桌面操作，功能不相关。因此T4也不成立。

综上，这两段代码在功能、结构、语法层面都没有相似性，不属于任何类型的代码克隆。所以应该输出0。
"
"    public static double[][] transpose(final double[][] A) {
        int N = A.length;
        double[][] B = alloc(N, N);
        for (int r = 0; r < N; r++) {
            for (int c = 0; c < N; c++) {
                B[r][c] = A[c][r];
            }
        }
        return B;
    }","    public void actionPerformed(ActionEvent evt) {
        try {
            if (Desktop.isDesktopSupported()) {
                Desktop desktop = Desktop.getDesktop();
                desktop.browse(new URI(""http://alx-library.sourceforge.net/""));
            }
        } catch (Exception e) {
            log.log(Level.WARNING, ""Error"", e);
        }
    }",0,0,"好的，我现在需要判断这两个Java代码片段是否是克隆代码。首先，我要仔细分析两个方法的功能和结构。

第一个方法是transpose，用于转置一个二维数组。它创建一个新数组B，然后将原数组A的行列交换赋值给B。第二个方法是actionPerformed，处理一个事件，尝试用桌面浏览器打开一个URL。看起来这两个方法的功能完全不同，一个涉及矩阵操作，另一个是GUI事件处理。

接下来，根据克隆分类标准检查。T1要求语法相同，只有空格或注释差异，但显然两个方法的结构和代码内容完全不同，不符合。T2需要变量名或字面值不同，但这里不仅仅是变量名的问题，代码逻辑完全不一样。T3要求语句级增删改，但两个方法中的语句没有相似的结构或顺序。T4要求语法不同但功能相同，但这两个方法的功能毫无关联，一个是数学运算，另一个是打开链接。

因此，它们不属于任何类型的代码克隆，应该输出0。
"
